question,offer,experience,interview,difficulty,source
 Why did you choose your college major?   ,No Offer,Positive Experience,"Went to HQ and took a 1-hour quiz comprising of 2 sections, mathematical and logic. Proceeded to the next round after passing the test, where there will be a HR interview.",Easy Interview,Shopee
 Have I ever done dashboards   ,Accepted Offer,Neutral Experience,,Average Interview,Shopee
,No Offer,Neutral Experience,,Easy Interview,Shopee
 What is interesting about Shopee?   ,No Offer,Neutral Experience,"After applied online, HR contact me in same day to set Test Schedule. After for about 2 weeks, i get interview invitation from different person. The interview was average because the interviewer speak too fast. But, it was interesting.",Average Interview,Shopee
 how can you tell a model is overfitting?   ,No Offer,Positive Experience,,Average Interview,Shopee
 Why Shopee? Why (insert role)? Why you? Tell me a time where you (dealt with conflict/lead a team/overcome a tough challenge/convinced a someone or a group)?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Code out a standard output of a json response.   ,No Offer,Neutral Experience,"Apply online first and go through series of questions and a coding test. After that, your application will be send to their HR for assessment. The online questions are quite average but you will have to brush up on your technical knowledge to ace it",Average Interview,Shopee
,No Offer,Positive Experience,"It was my first face to face interview. In the beginning, we were asked to match words that identical by marking it as “B” while the non-identical one with a “S”. After the test, I was asked to wait for an interview with HR",Average Interview,Shopee
,No Offer,Negative Experience,I was contacted by the HR recruiter for a scheduled phone interview that never happened. The hr personnel did not reschedule nor let me know why. This was quite unprofessional in my opinion.,,Shopee
 Tell me what do you know about Shopee.   ,No Offer,Neutral Experience,It was the phone pre-screening interview. The HR called and throughout the process the line was poor and there was a lot of static. Didn't help that she was extremely muffled during the call and caused me to give an answer different to what she asked.,Difficult Interview,Shopee
 No interview question.   ,No Offer,Negative Experience,,Difficult Interview,Shopee
 What campaign would you do for shopee?   ,No Offer,Neutral Experience,"Online application, followed by a call with the HR team mainly to screen, followed by an interview with the marketing manager. HR team is very efficient with the arrangement of all the calls and interviews",Average Interview,Shopee
,No Offer,Positive Experience,"First interview was a phone interview with the HR personnel. Basic interview questions were asked. After passing the phone interview, the next stage is a group interview at Shopee HQ (2:1). It was a casual interview and the interviewers were professional but friendly.",Easy Interview,Shopee
 Why Shopee?   ,Accepted Offer,Positive Experience,"Applied through LinkedIn job posting. Received email from HR few weeks later inviting me to an interview, which they will schedule according to your availability. (Honestly thought this was great, had a job at the time and really couldn't come in for 8/9am interviews most companies have). First interview was with HR- general interview questions + an exam. Exam was on excel formulas (VLOOKUP and other formulas). A week later was invited for another interview with the team lead, who introduced me to what the job entails. Waited for another week and got another invite from HR, endorsing me for an interview with another lead for a team they thought I would be a better fit in. Got a call from HR a week later for the job offer and signed the next week.",Average Interview,Shopee
,Declined Offer,Positive Experience,This consisted of three stages. The interviews were very straight forward. Interviewers are friendly and but kept a straight face. The interviews were face to face in the office. Semi-casual environment,Average Interview,Shopee
 Case study: What would you do when presented these (specific) challenges when building a feature.   ,Accepted Offer,Negative Experience,"Interviewing process was smooth and fast. Hiring manager was smart and understanding. HR was nice and work efficiently, though at times quite junior. However, Shopee has retracted their offer after the contract was signed, stating the reason of headcount freeze.",Easy Interview,Shopee
,Accepted Offer,Positive Experience,"Interviews were good and standard. I felt that few interviewers were not fluent with English so it was problematic to follow them and also if you are stuck in a problem you can't expect much help as they might be helping you but you won't understand their accent. Also, Recruiters are little unprofessional. They are interested in your other offers rather than judging candidates based on their own recruitment process. Also, the compensation is average. All the questions asked in my interview were available on glassdoor (especially computer fundamentals).",Average Interview,Shopee
 What's your weakness and advantage?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
,Accepted Offer,Positive Experience,,Average Interview,Shopee
" Algorithmic programming, Operating Systems, Computer Networks, System Design, Databases. All these topics were covered intensively in the interviews. Prepare all the concepts well.   ",Accepted Offer,Positive Experience,The interview process consisted of an online coding assessment followed by 3 technical interviews. Each interview was approximately 60-90 minutes. All 3 interviews were done using a video call service. It was a very smooth process and the assigned HR was readily available to clear any doubts and help with the interview process.,Average Interview,Shopee
 What is your CAP?   ,No Offer,Negative Experience,,Difficult Interview,Shopee
 What other companies have you applied to?   ,Declined Offer,Negative Experience,"The whole interview process toke over one month. It was an HR screening via phone for the first round. Followed by two rounds of on-site technical assessment and a final interview with the head of the department. The whole process is a complete mess and the HR people are very unprofessional. Things like orally offering the position then withdrawing it on the next day, interviewer showing up late for half an hour, canceling interviews on the day itself, and not showing up on scheduled time slot all happened in the process. I am even surprised I can tolerate them for such a long time. Anyone who wants to apply for this company is suggested to take a second consideration before your time is wasted.",Easy Interview,Shopee
,Accepted Offer,Positive Experience,,Easy Interview,Shopee
" What did you do in your past job, and how can you apply what you've learned from it to this company   ",Declined Offer,Neutral Experience,"After submitting my application, HR called me a month after. There was a phone interview first before the actual personal interview at Shopee HQ. The same person who called me was also the one who interviewed me, and apart from him was the manager of the team I was gonna be assigned to.",,Shopee
 why shopee   ,Declined Offer,Positive Experience,"phone interview from hiring team, then sql + python test 45mins + 45mins + 20mins as buffer, then phone interview from hr, then onsite interview. The interviewers are really nice.",Average Interview,Shopee
 Tell me three things about the company that excites you.   ,Declined Offer,Neutral Experience,,Average Interview,Shopee
 How can you link your past experience into this internship?   ,No Offer,Negative Experience,"Was contacted for a phone interview and once successful, they assign you a task. If you ""did well"" on it they would then contact you for an interview. However during the interview my interviewer seemed disinterested in what i was saying and i could see she had kept wanting to use her phone but did not because i guess she knew it was rude. Although, she did use her phone once in awhile. INterview focused mainly about past experience.",Average Interview,Shopee
 Tell me about why you want to work at Shopee   ,No Offer,Neutral Experience,I applied online to the role and got HR call interview quite soon after submitting the application. I was then invited to PM interview but was rejected one week after the PM interview.,Easy Interview,Shopee
,Accepted Offer,Positive Experience,,Average Interview,Shopee
 how do you think about Shopee   ,No Offer,Neutral Experience,,,Shopee
 Experience and campus activities   ,No Offer,Neutral Experience,,Average Interview,Shopee
 Extract data from a dataframe using some pandas functions for grouping and aggregation   ,Accepted Offer,Positive Experience,"Interviews are technical, testing on knowledge on working with Python (Pandas) / SQL. I wasn't able to answer some of the questions but the interviewer allowed me to work with some stated assumptions",Average Interview,Shopee
 recreate a binary tree from its inorder and post order array   ,No Offer,Negative Experience,"Interview was done online and used an outdated IDE that did not work. In addition, there was a video component that will spy on you as you do the test. This is to ensure that you don’t cheat. Looking away from the screen will cause your score to be penalised.",Difficult Interview,Shopee
,No Offer,Neutral Experience,"I was contacted by a recruiter on LinkedIn for applying to a web backend position, which I did and setup interview. I had already submitted my CV separately via mail to them to check.",Average Interview,Shopee
 Typical Data structure and Algorithm questions.   ,Accepted Offer,Positive Experience,,Difficult Interview,Shopee
,No Offer,Negative Experience,,Easy Interview,Shopee
 Do you see yourself at Shopee in the future?   ,No Offer,Negative Experience,"The Interview went smoothly and the interviewer was nice. I think both sides enjoyed the moment. However, the HR Department changed the hiring policy just after the interview and stayed silent until I reached them. In other words, not so professional in fact.",Average Interview,Shopee
 Describe how random forests work. Describe the bag of words approach.   ,Accepted Offer,Positive Experience,"HR emailed me asking for my availability and set the interview up the week after. The interview was quick and brief, the interviewer made me feel comfortable and HR was very efficient.",Average Interview,Shopee
,No Offer,Positive Experience,"First, they will call you. Very simple questions and lasts about 10 minutes. Then they asked you to have an interview in their office. The officer is friendly and will introduce the job to you.",Average Interview,Shopee
,No Offer,Neutral Experience,2 stage process which consists of the phone interview and face to face interview. Applied online and then a recruiter will email you personally to select a suitable timing for the phone interview. If all goes well in the phone interview you are shortlisted for the final process which is the face to face interview. The face to face interview took about 1 hour with the department manager. Basic qualification questions were asked and a case study was given on the spot,Difficult Interview,Shopee
,No Offer,Negative Experience,,Difficult Interview,Shopee
 Types of testing you would have done on this product.   ,No Offer,Positive Experience,Phone HR interview and Online assessment. Phone interview that tells me what the role is about and what the online assessment would be like. They even gave me some tips to study for the online asssessment.,Difficult Interview,Shopee
 Use binary research to solve a technical problem   ,No Offer,Neutral Experience,,Difficult Interview,Shopee
 What's different between TCP and UDP?   ,Accepted Offer,Positive Experience,"They will call you through video call for 1.5 hour * 3 session. They will ask you technical related like algorithm, data structure, network and database problems, make sure be prepared for that field.",Difficult Interview,Shopee
 How to grow sales for a traditional brand Online?   ,Declined Offer,Positive Experience,"Process was fairly fast, only max 3 interviews for me. The company was pretty straight forward. I knew on the same day that I was going to pass. However, the offer was a bit too low.",Average Interview,Shopee
 Invitation for interview   ,No Offer,Negative Experience,,,Shopee
 Are you willing to work overtime?   ,No Offer,Negative Experience,HR talked very fast. He sounded unaudible and He made me feel inferior that made me not answer his questions. The interview lasted for only 5 minutes. He seemed uninterested.,Easy Interview,Shopee
" Sorting algorithm analysis, TCP protocol, SQL queries, OS knowledge and programming test.   ",No Offer,Positive Experience,"After applying online, you will be given a link to an online skill test, which requires wide field of knowledge in Computer Science. Advance study and revise on university material is vital.",Difficult Interview,Shopee
 Generic interview questions - previous experience on specific projects and workflow   ,No Offer,Neutral Experience,,Average Interview,Shopee
,No Offer,Positive Experience,"applied it online, after one week got an email to do two kind of test (logic and SQL) sent by mail and have to finished it in 1 hour, mostly about GMAT and SQL, get prepared and practice",Difficult Interview,Shopee
,No Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Positive Experience,Process was very fast. I was emailed to schedule an interview a few hours after applying through website. The interview was relatively easy going. Interviewer mostly asked about things on resume. Was offered a second interview.,Average Interview,Shopee
,No Offer,Neutral Experience,,Average Interview,Shopee
 Why did you apply for the position?   ,No Offer,Neutral Experience,"Waited 3 hours before getting interviewed. I was following the given schedule but they didn't comply with the schedule. The interviewer clearly has a lot on his mind, he didn't seemed so focused on the interview. The interview lasted only 40 minutes, I waited longer than I was interviewed.",Average Interview,Shopee
 Walk me through your resume.   ,Declined Offer,Positive Experience,,Average Interview,Shopee
 Implement cache function in JS.   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Why are you keen to work for the ECommerce industry? Previous internship experience?   ,No Offer,Neutral Experience,One round interview with the hiring manager. The interview took about one hour. Interviewer was experienced and has been working in the industry for more than five years.,Average Interview,Shopee
 Tell me about yourself   ,Accepted Offer,Neutral Experience,,Easy Interview,Shopee
 What kind of work environment is ideal for you?   ,Accepted Offer,Positive Experience,"The first round of interview was a phone interview. I was informed that I was shortlisted for a panel interview within 2 days. After the panel interview, I was informed that I was offered the internship within a week.",Average Interview,Shopee
,Accepted Offer,Positive Experience,,Difficult Interview,Shopee
 Introduce yourself briefly   ,Accepted Offer,Positive Experience,"After applying the relevant internship position online, you will receive the phone interview if you are required. And the first round is about the HR Interview about your resume. And you must have the good listening and communication skills.",Average Interview,Shopee
 Why did you choose this department?   ,No Offer,Neutral Experience,"Interview process started with a HR call. On site Interview was okay, was asked basic questions about myself and to elaborate on my past internships. I assume i was not selected as i was not contacted at all.",Average Interview,Shopee
 Why do you apply for this company   ,No Offer,Neutral Experience,,Average Interview,Shopee
 caching in javascript   ,No Offer,Positive Experience,,Difficult Interview,Shopee
 About my past experience on the last workplace   ,No Offer,Neutral Experience,The HR emailed me and asked me to do an Excel summary about 5 news about shopee that out recently. After that they will arrange a phone interview and if you passed it you will get call to go to their office to get more interview. The phone interview is using Bahasa Indonesia.,Easy Interview,Shopee
 How well do you rate your technical skills.   ,No Offer,Neutral Experience,"Need to go through a short HR phone call, followed by a Python / SQL online assessment, and will be called for interview if successful as well as another round of offer meeting.",Difficult Interview,Shopee
 Introduce yourself   ,Accepted Offer,Positive Experience,Recruiter Interview and then on-site technical assessment about SQL and Python. A very nice recruiter from people team. Very smooth process and quick response of the email. Overall is very good.,Average Interview,Shopee
 Why out of all the department you want this?   ,Accepted Offer,Positive Experience,"The HR will first call and ask on the python libraries packages then will go on to ask the normal question like why this role, why shopee. After that immediately, she asked on my availability for the coding test.",Average Interview,Shopee
" past experience, reasons of moving   ",Declined Offer,Neutral Experience,,Easy Interview,Shopee
 Tell me about yourself   ,No Offer,Neutral Experience,"Phone Interview was schedules before hand. HR person was very friendly and nice over the phone, and very prompt in replying my emails regarding inquiries. Have not heard from them back since, an update would be nice.",Easy Interview,Shopee
 Why Shoppe ?   ,Declined Offer,Negative Experience,,Average Interview,Shopee
 Did you apply for any other company?   ,No Offer,Positive Experience,"I got to the first HR interview(phone screening). The HR is quite nice and asking question gently, mostly on my previous experiences and why am i want to apply for this job. She email me a sorry letter a week after the interview.",Easy Interview,Shopee
 Why do you want to work in Singapore   ,No Offer,Positive Experience,,Easy Interview,Shopee
 Redis v.s. Memcached   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Case study about COFFEE SHOPS   ,No Offer,Negative Experience,"Probably one of the worst interviews I have ever experienced. HR called me and we had a quick interview over the phone and then they invited me to in for a 1:1. Before the interview, HR mentioned that no one got along with one of the managers (the person who was going to interview me) and that they were difficult to work with - great first impression, Shopee? The interview was extremely redundant, there were two managers who interviewed me and they were extremely rude and arrogant. They had a case study for me to complete but could not answer any questions I asked - it also had NOTHING to do with e-commerce. One of the managers also rolled her eyes the entire time and it made me feel extremely uncomfortable.",Average Interview,Shopee
 Tell me about yourself   ,No Offer,Negative Experience,,,Shopee
 How would u improve X feature on Shopee   ,No Offer,Neutral Experience,"HR phone screening, then had to do a written assignment made up of several essays. Was shortlisted and called down for 2 interviews with one manager each (managing separate teams) at the office. They were a set of case studies pertaining to Shopee specifically and also questions about my capabilities. Thought the interviews went well on one side, the other not so much. Doesn’t matter that I did not get an offer, but I found it unpleasant that HR never bothered to send a rejection email, when they took up my time and effort going through several rounds of the interview process.",Average Interview,Shopee
 Biggest takeaway from college   ,No Offer,Positive Experience,It was fast and focused on myself. There were a lot of questions about my time in school. The interviewer asked about my thesis and interests.,Easy Interview,Shopee
 Mix of technical and non technical questions   ,No Offer,Negative Experience,,Average Interview,Shopee
 tell me about your final year project   ,Accepted Offer,Positive Experience,"HR sent an email to confirm the interview session. The phone call interview is sharp on time. It took almost half an hours. There are some question is based on the programming language, and some of critical thinking technique. They want to see you determination.",,Shopee
 Why do you want to tap into the e-commerce industry?   ,No Offer,Negative Experience,,Average Interview,Shopee
 What did you know about the shopee ambassador and campaign?   ,No Offer,Neutral Experience,The interview process started with basic mathematics questions if you pass the test you will proceed immediately into the HR Interview after you pass this interview you will directly being interviewed by the user.,Easy Interview,Shopee
 Why Shopee?   ,No Offer,Negative Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
 your previous experience   ,No Offer,Positive Experience,totally 3 or 4 rounds now I am in the first round phone interview the first round what you need to talk with hr about 30 minutes. hr is nice but she asks questions very carefully and many details.,Average Interview,Shopee
 What do you see in 5 years   ,No Offer,Positive Experience,"Phone interview, the interview was punctual. The interviewer was engaging, question was clear.",Average Interview,Shopee
,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Why Shopee?   ,No Offer,Positive Experience,,Easy Interview,Shopee
" Programming skills, preference between BI Engineer or BI Analyst   ",Accepted Offer,Positive Experience,"I got interview from the HR team, the interview was mostly about my skills and also my previous experience. He asked me about the tools that I use in my previous company and what works did I do there",Average Interview,Shopee
 What kind of challenges have you faced during the project?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Describe yourself   ,Declined Offer,Negative Experience,"Pretty ok and straight forward, Asking the standard questions - what is your hobby, tell me more about this role, background family information, what attracts you to join shopee (in terms of awards)",Easy Interview,Shopee
 Are you familiar with Excel formulas   ,No Offer,Neutral Experience,"A quick phone call, mostly asking technical questions such as Excel formulas and whether you have networking in media. Also ask about your past experiences, and then the next step is a Math test sent by email",Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
" How do you deal with such situation, such as you report to two mgr and both of them give you tasks to be finished in one day,   ",Accepted Offer,Neutral Experience,,Average Interview,Shopee
 Why do you choose the role?   ,Accepted Offer,Positive Experience,,Difficult Interview,Shopee
 Tell me about your FYP   ,No Offer,Positive Experience,"I applied online and the response was quick. The interviewer was very professional and engaging. The interview starts at the determined time, it was punctual.",Average Interview,Shopee
" They asked about frontend skills, algorithm, data structures, project experience and etc.   ",Accepted Offer,Positive Experience,I had multiple interviews with different people. My first interview was with the HR team then I had an interview with two tech leads and with the head of the engineering team. They were nice and their challenges were really good.,Average Interview,Shopee
 Tell me what you did at your previous internship.   ,Accepted Offer,Positive Experience,I applied through the job portal. First round was actually a short 5-10 minutes phone call with the HR personnel about your strengths and weaknesses. Was told shortly to head down to the Shopee building for a F2F interview and Whiteboard Test. F2F Interview focused on past experiences and whiteboard test was a series of 4 questions consisting of SQL and python. Interviewers were really nice and genuine and they saw that I was really nervous - and allowed me some time to use the washroom to freshen up in the middle of the interview. Overall very good experience.,Average Interview,Shopee
 Fundamental Javascript questions   ,No Offer,Neutral Experience,"First, Shopee will contact you through email to book a skype interview section with you. After the interview with Shopee's HR. Then, Shopee will send an assessment question for you to complete. If you pass your assessment question only got the chance for the next round of interviews. Unfortunately, I failed in this round.",Average Interview,Shopee
 Tell me about how you do data visualization   ,No Offer,Neutral Experience,"First, HR gave a phone call, and then a Python and SQL test. The HR said she need talk with the Hiring Manager to decide whether gave a Python and SQL test. Then, she did not send me a test anymore.",Easy Interview,Shopee
 Can you explain the VAE?   ,Accepted Offer,Positive Experience,"2 rounds of the technical interview +1 round of manager interview. Quite intensive on technical both coding and machine learning knowledges. The coding is targeted for developer skills, such as reading and loading files, basic data structures and algorithms.",Average Interview,Shopee
 Why did you apply for this job?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Why do you want to work in HR?   ,Accepted Offer,Positive Experience,The internship hiring process was very well organized. The HR department was very hands on and made sure to help me figure out what role would best fit my qualifications as well as my personality.,Average Interview,Shopee
 Coding question   ,No Offer,Neutral Experience,,Average Interview,Shopee
 Sql python   ,No Offer,Negative Experience,,Average Interview,Shopee
 Q: Why are you rthe right fit for the position   ,No Offer,Positive Experience,"1st round: Online test includes ploblem solving, GMAT, logical reasoning if you pass this this test,you will get a invite mail for Group discussion & HR interview 2nd round: case interviews 3rd round: Senior manager interview",Average Interview,Shopee
 Why do you want to join Shopee?   ,No Offer,Negative Experience,"Backward and incompetent HR system. It's 2019, they are still asking questions that requires sugarcoating like ""why do you want to work at Shopee"" instead of ""What can you contribute in this role"" or ""what kind of support you are looking for"". You contacted the candidates because of their qualifications and skills, not because you want them to tell you good things about Shopee. I refused to disclose previous salary because such question is illegal, the HR was annoyed by it. I feel that it is very unprofessional. They should offer the salary based on experience, skills and what I can contribute to the company instead of based on last drawn salary.",Easy Interview,Shopee
,No Offer,Neutral Experience,,Average Interview,Shopee
" Barely 5 question, and he cut my answers alot on them. Very rude and unprofessional   ",No Offer,Negative Experience,"The interviewer was late and rude. Keep cutting off when I was talking or taking a pause before answering. He clearly was not interested and focused in the interview, acting like he needed to be somewhere else.",,Shopee
 Case studies. e.g. How to persuade a company to sell products via Shopee.   ,Accepted Offer,Positive Experience,"First is a online coding assessment, followed by HR phone interview. After a week is the onsite interview, which consists of two rounds: one team interview and another with manager.",Easy Interview,Shopee
" If a brand wish to go onboard with Shopee, how would you project the expected revenue that they will get on Shopee?   ",No Offer,Negative Experience,,Difficult Interview,Shopee
 Tell me a bit about yourself   ,No Offer,Neutral Experience,,,Shopee
 What did you do to resolve conflict with your supervisor/manager? And why did you do it?   ,No Offer,Neutral Experience,,Difficult Interview,Shopee
,Declined Offer,Neutral Experience,"Lengthy interview process, with no structure (expected from a startup like company). Initially applied for a general role but was then transferred to different divisions three times. The HR team is huge and each business division HR does not share candidate date within the group.",Average Interview,Shopee
 What was one of your greatest achievement from your previous workplace?   ,Declined Offer,Negative Experience,"I applied online for a full time position under regional operations team. Got a 20min HR call on the following work day, followed by a F2F interview, 1 assignment and last stage was F2f interview. However I was offered a 6 MONTHS CONTRACT only after ALL interview rounds, and HR mentioned that interviewers should have already discussed with me, WHICH THEY DID NOT. I had an interview with the head of regional operations team as well, but I did not get this information beforehand. JD also did not indicate that it was a contract role. Felt that they were very unprofessional, and really wasted my 2 weeks worth of time.",Easy Interview,Shopee
,No Offer,Positive Experience,,Average Interview,Shopee
,Accepted Offer,Positive Experience,"The interview was smooth sailing and interviewer was friendly. Gave a brief introduction on the jobscope and how lively the company is. Also gave situational questions, good to be prepared for these out of the box questions.",Average Interview,Shopee
" How to increase GMV, What kind of campaigns, How to increase margins and drive down cost   ",Declined Offer,Negative Experience,"Recruiter is efficient and follows up closely. However the interviewer comes across as unprofessional and pushy. An interview should be a two way street, interviewee is as much assessing the interviewer as well. Shopee management comes across as young, and they would need more leadership training & experience to be able to attract better talents",Average Interview,Shopee
,Accepted Offer,Positive Experience,There were three levels and my hiring process happened in a span of three weeks. One interview per week was pretty fast I guess but some questions were asked repeatedly and I didn’t understand the need for having three interviews.,Average Interview,Shopee
 Tell me about your internship/s. When can you start? What is your expected salary? What are the threw attributes you look for in a company?   ,No Offer,Neutral Experience,"There’s an exam first, data processing and analysing through MS Excel. Can use the internet for the formula. For the interview, it was short, and just asked about personal information, your expected salary, when you can start. Was also asked to present the output that you’ve come up from the exam.",Average Interview,Shopee
" http, tcp, database, binary search, stacks and heaps.   ",No Offer,Negative Experience,"Applied directly. HR recruiter contacted. She was not very professional in asking questions. Probed a lot about what I currently make and salary expectations. Even during scheduling interviews, she did not provide any information about what kind of interview I will be having.",Easy Interview,Shopee
 Tell me about your background. Why Shopee? Why GLP (Global Leadership Programs)?   ,No Offer,Negative Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
,No Offer,Positive Experience,,Easy Interview,Shopee
 Tell me about yourself   ,No Offer,Neutral Experience,Recruiter was nice and friendly. They are looking for transcript even with work experience. They said that this would help with their process even though I have work experience already.,Average Interview,Shopee
 JavaScript Fundamentals.   ,No Offer,Neutral Experience,,Average Interview,Shopee
 We were given Pauli test and MBTI Personality Test. No preparation needed.   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 How would you improve Shopee's website   ,Declined Offer,Neutral Experience,"Slow. Extremely time consuming. No value in other people's time. Didn't even know what team to interview me for, originally. Gave me different tests but apparently according to another person in HR, I didn't need to take any of those tests. Interviews set at a certain time when interviewer only shows up an hour after.",Average Interview,Shopee
 tell me about yourself   ,No Offer,Positive Experience,,Average Interview,Shopee
 How would you describe your strengths?   ,No Offer,Negative Experience,Had to go down to the office for a few interviews that were messily coordinated - repetitive questions asked by different stakeholders. Did not even bother to follow up on the outcome of the interview. Please respect your candidates' time and understand that the candidate experience is important.,Average Interview,Shopee
" Introduce yourself, what do you know about this position, how would you describe your personality   ",No Offer,Negative Experience,,Easy Interview,Shopee
 What are your strengths and weaknesses   ,Accepted Offer,Positive Experience,"Interview was very straightforward and direct. The first one is accuracy test, math test, and english test. If you pass that, they'll ask you to wait for the HR interview while the failed candidates are asked to go home. When you pass the HR interview, only then will you have a 1-on-1 interview with the user that you are going to be working with. I found out that I was hired a week after the interview.",Easy Interview,Shopee
 Past Internship experience.   ,Accepted Offer,Positive Experience,"Applied via company website. First round is a 10 mins phone interview with HR. After 2 days, received call from HR to schedule the next round. Second round is a 30 mins on-site interview with line manager.",Average Interview,Shopee
 Tell me something about your last work   ,Declined Offer,Neutral Experience,,Average Interview,Shopee
 Why do you want to work at Shopee?   ,Declined Offer,Positive Experience,Starts with a phone interview before going down for a physical interview. I am still pending the final interview so will update when I get it. Over the phone they will ask about your previous experiences and how you think you can contribute to the company based on the experiences.,Average Interview,Shopee
 Most of the questions were related to my resume and experience and problem solving   ,Declined Offer,Neutral Experience,,Average Interview,Shopee
,No Offer,Positive Experience,"applied online and after 3 workdays, I received the phone interview invitation. the next day i was informed to take the online test about sql and python which should be finished in 1.15 h.",Average Interview,Shopee
 Windows SQL questions   ,No Offer,Neutral Experience,,Difficult Interview,Shopee
 Tell me about yourself and your CV   ,No Offer,Neutral Experience,"I had three interview experiences with Shopee GLP, HR interview and Case interview (two times). The HR Interview questions were pretty basic where you had to describe yourself and your compatibility with the firm. The case interview was done two times, the first one was a basic profitability case, and the second one was about supply chain",Average Interview,Shopee
 What made you apply for Shopee?   ,Accepted Offer,Neutral Experience,"I had the HR screening interview directly followed one by my potential department bosses. It took a month for them to get back to me for the final interview with a person higher ranked in the department. Depending on your possible role, you might have to take an excel diagnostic.",Average Interview,Shopee
 Why do you want to do Business Development?   ,No Offer,Negative Experience,"Applied online, and they took 2 weeks to contact me back. There was a phone interview, the HR asked a few basic questions and cultural fit questions. Had to do a case study online after the phone call which is due within 1 hour, and met up with the 2 relevant managers from the department. Talked through what I've done for the case study.",Average Interview,Shopee
 What do you think about the main content of this job?   ,No Offer,Neutral Experience,,Average Interview,Shopee
 Have you been in a leadership position?   ,No Offer,Positive Experience,"Relatively fast processing time (1-2 months) for a management trainee program. Apply to their Global Leader's Program online, waited for a month, and got invited to their networking night where they explained the company profile and what to expect on Round 1, part 2 of the application process.",Average Interview,Shopee
 Why not hang around so that you can have some income?   ,No Offer,Negative Experience,,Easy Interview,Shopee
,No Offer,Neutral Experience,,Average Interview,Shopee
,No Offer,Neutral Experience,,Easy Interview,Shopee
 Tell me about your last job. Share something difficult in your life. Why do you want to develop toward machine learning field?   ,No Offer,Positive Experience,"The hr is very professional, but I can't pass. My experience is not enough for them. Maybe I need to improve my resume. I hope I will join in next year and try again.",Average Interview,Shopee
 Why did you leave that company?   ,No Offer,Negative Experience,"Skype call. But I was asked questions those were answered in my cv. Apparently, the recruiter did not go through my resume. Did not ask many relevant questions such as my thesis or publication even though the post was for research. Put too much importance on experience rather than qualification or ability which is pretty much irrelevant for research background. The recruiter was very friendly although I do not think (s)he was very familiar with or aware of what the job requires. Spent too much time on a sample project I did rather than asking about better/professional projects I was involved in",Average Interview,Shopee
,No Offer,Neutral Experience,,Average Interview,Shopee
 Why do you want to work at shopee?   ,Declined Offer,Positive Experience,"This was only the initial interview, but they asked me questions about my self. Typical strengths and weaknesses, why did I choose Shopee, etc etc. They also answered some of my questions about company culture",Average Interview,Shopee
 How do you manage capacity at a given restaurant?   ,No Offer,Positive Experience,"HR contacted me pretty quickly. I went to an interview the week after. They gave me an easy assignment to make a powerpoint for a given project. The interview was pretty standard, tested me on logic in decision making and how much I wanted to work in the industry.",Average Interview,Shopee
 case study basis   ,Declined Offer,Neutral Experience,,Average Interview,Shopee
 How would you define metrics to track success if you were in charge of [such and such] feature inside the app?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Tell me about yourself.   ,No Offer,Negative Experience,,Easy Interview,Shopee
 Forecast the balance year to go sales value using historical data.   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Are you fine with internship in the regional ops department instead?   ,No Offer,Negative Experience,,Difficult Interview,Shopee
 how do you access the performance of a feature？   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Positive Experience,,,Shopee
 Why Shopee? Why this department and give a relevant experience related to the function you are applying in.   ,No Offer,Negative Experience,"Initially contacted by HR Intern and was first interviewed by the intern. Intern does not reply to texts or calls immediately. After the initial interview with the HR Intern, a second interview will be done through the hiring manager of your selected department. After the interview, I would be contacted regarding my application however the HR Intern did not reply and only took action when I texted a week after my interview.",Average Interview,Shopee
 Interview questions related to the case study exercises to uncover your thought processes   ,Accepted Offer,Positive Experience,"The interview process took about 3 weeks. The HR were very efficient and took less than 3 days after each round to get back. There were 4 rounds in total- phone call with HR (checking on your resume and background experience), a few take-home case study exercises that had to be completed within a week, and then two more face-to-face interviews with different managers.",Difficult Interview,Shopee
,Declined Offer,Negative Experience,,Difficult Interview,Shopee
 go through CV and school project demo   ,Accepted Offer,Positive Experience,,,Shopee
 Questions about yourself   ,No Offer,Positive Experience,"Phone Interview and Face to Face Interview after which. It was very fast and the HR personnel was very friendly. Once you apply online, they will give you a follow-up email for phone interview in a few days time. Overall, very good experience.",Easy Interview,Shopee
 What is your expected salary?   ,No Offer,Neutral Experience,,Easy Interview,Shopee
