offer,experience,difficulty,interview,question,source
Accepted Offer,Positive Experience,Average Interview,It went great! There was a behavioral interview and two technical screens. I do not want to disclose anything else about this interview. I do not want to disclose anything else about this interview.," They asked behavioral questions, i.e. what was the most difficult challenge that you faced etc.   ",Amazon
No Offer,Positive Experience,Average Interview,"They were quick and responsive, everything was communicated via email. Had an online debugging assessment and logic test followed by development test and personality test followed by final round phone screen.", 7 easy debugging questions.   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,"Online assessment/ background check. Training is online as well, just answer yes to all of the quiz questions after watching the videos. It's a very simple process that I'm sure results in high turnover.", How would you handle someone not pulling their weight at work?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"There's no interview, just pass the psychoanalysis questionnaires when you apply online, it takes maybe half hour to complete. Test consist of scenarios and your best knowledge of resolving issues. Pass those and you will be hearing and receiving an offer letter.", Please take the drug test   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,"Mostly emails, but the last step is meeting a Rep in a hotel to have your ID scanned and take the oral drug test. The majority of the training is videos on safety and handling HAZMAT.",,Amazon
No Offer,Positive Experience,Difficult Interview,, Tell me about a situation on the job where you earned the trust of an employee?   ,Amazon
No Offer,Positive Experience,Average Interview,"first with the phone interview, still waiting for the onsite invitations, . The interview contains technical and background check. Overall amazon is a big and steamlined empolyer.",,Amazon
No Offer,Neutral Experience,Average Interview,Telephonic interview. This may have 1 or 2 rounds depending on the performance. I believe this will be followed by an onsite interview process. I did not get any idea from the interviewer or the recruiter on the process.,,Amazon
Accepted Offer,Positive Experience,Easy Interview,There was none. Pass the drug test and background and have a body. They do not care about anything else. Show up to fill out your paperwork and pick your schedule which you can never change. Ever., When can you start?   ,Amazon
No Offer,Positive Experience,Easy Interview,, We went over an optimization problem based on the research I'm currently working on   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Had to do an online assessment, which involved behavioral questions and coding problems. The onsite interview was to verify that I did those questions myself. It was really odd to see that experience.", Had to do some sorting and arraylist   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,"very bare bones, run of the mill questions. you have to take an assessment to make sure you can understand and transcribe recordings... really not hard at all, if I'm being honest", How do you feel about doing mundane work   ,Amazon
No Offer,Positive Experience,Difficult Interview,It was about 6 hours of Technical interview at their Seattle Office. Before hand I had only had done a phone screening and the online exam. Everyone was very nice. The interview was very long specially that I had flew in the night before., Study Hackerrank and similar websites. Practice and be ready to talk about yourself and regarding behavioral questions. It is ok not to know the answers but it is important to walk through your thought process.   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,, Where do you see yourself in 5 years.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,All of the interview was done via online when I applied. You answer a series of questions. After that you get an email to come in and submit a drug screening (mouth swab) and background check. It takes about 7-10 days for the results to come back. After that you will receive an email for you to set up your orientation date. All hiring are done in a mass amount. There is no one on one when hiring with Amazon fulfillment in Southern California I've learned., There is no one on one questions and or interview. You do the scenario test via online prior to ever drug testing. If you get a drug test date your hired ! (As long as you past the drug screening and background check)   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Easiest thing ever. I applied online and was offered an appointment for the next day. There was nothing out of the ordinary, I just entered all my information and they didn't even ask for my employment history.", None! You just fill out the application online and take the assessment test and that's it.   ,Amazon
Declined Offer,Positive Experience,Average Interview,Just behavioural questions around leadership principles. It was easy interview. The recruiter was professional and had good chat around agile and waterfall. Just be ready with examples around leadership questions.,,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Went through just the telephonic process. Waiting for response. The interview was very friendly. Helped me to solve the problem. Wrote all the ways to solve the question and interview was impressed. Wrote the most efficient way in O(n), the interview asked to write less efficient which I couldn't, still everything went fine.", Target Sum from leetcode   ,Amazon
No Offer,Positive Experience,Average Interview,"This job is in Europe. The first call is on the behavior, the HR talk about this job and ask some behavior questions. Should made great example for your experience", what's your experience in data analysts   ,Amazon
No Offer,Negative Experience,Difficult Interview,"Contacted by recruiter, then had 45 minute easy technical interview over the phone, then they fly you from your home to the interview site and you interview with 4-6 other people asking both technical and personality questions. Technical questions are very difficult and they ask you to go as deep as possible. When you explain it to them, they keep saying.. ""tell me more, what's next, tell me about this detail you mentioned"". They often go off your resume and into tiny details like packets, frames, development, history of Linux, coding, and etc... Also, some questions are personality based and they try to rattle you and keep telling you to clarify something you explained already. They were actually very annoying and rude in my eyes. If they were not asking more annoying, they were bored typing away on their laptop and googling hard questions to stump you with. It was difficult, and I understand why they make it that way, but I think they waste money and time by not screening you over the phone to prepare you for the face to face. The initial phone interview was a cake walk compared to the face to face.", Write a script in bash that will parse lines of code.   ,Amazon
Accepted Offer,Positive Experience,Average Interview,,,Amazon
No Offer,Negative Experience,Difficult Interview,"Got a coding link, which consisted 2 challenges, questions were really hard and difficult to understand. It was one and a half hour test which was not enough to crack it.", Challenges were really tough.   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"Interview process took between 2-2.5 hours. It started with a written assessment, followed by 3, one on one, interviews. The questions were behavior based questions, based off of your prior experience."," Give an example of an experience where you were frustrated with a customer, what happened, how did you handle it and what was the result of the situation.   ",Amazon
No Offer,Positive Experience,Difficult Interview,,,Amazon
No Offer,Positive Experience,Easy Interview,Applied online and got called for an interview. I was given an online assessment to complete which took about 20 mins. There was also a very casual interview with the manager., Would you be comfortable walking for long periods of time?   ,Amazon
No Offer,Negative Experience,Average Interview,I had to take a 30 minute multiple choice and written test before the interview. The interviews were fine (2 video chat interviews). I was told at the end of the interview that they would let me know the next day if I was or wasn't going to have a second round interview. I never heard anything back from them. I even reached out to the recruiter to ask how things went and never heard a reply. It is fine that I wasn't right for the job but to ignore me and never even tell me yes or no after I spent so much time taking the tests they wanted me to take was disappointing., Do you have a favorite amazon product and if so how would you improve it if you were to work on that specific product?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,Did two separate interviews using Amazon Chime. First interview was to get to know me and questions were experience based. Second interview consisted of case study questions (what would you do) type scenarios.,,Amazon
Accepted Offer,Neutral Experience,Average Interview,Got an email from the recruiter. I had to give online assessment test followed by phone screen. Then the on-site interview which had 5 rounds. Two were of behavioral questions HR type and the three were technical. Mostly troubleshooting., Basic Linux and Networking questions.   ,Amazon
Declined Offer,Positive Experience,Average Interview,Was very easy so I thought. The have you read a case study and answer the question first and its about a pizza shop or a sandwich shop. Then once you have completed with that they make you read through a case study and you have to roll play it with the interviewers. After that they ask you some questions were you will the use your star method. Its actually pretty cool how they have it set up. One thing is for sure you need to be ready for follow up question. Someone told me Its pretty bad when they ask follow up questions., Tell me the hardest thing you ever had to do.   ,Amazon
No Offer,Positive Experience,Difficult Interview,," Like I said above, come up with as many situations and examples in your career where you failed at something but learned, where you improved something and it's impact and where you had to overcome challenging situations that have a positive outcome.   ",Amazon
Accepted Offer,Positive Experience,Average Interview,"On site interview: A short test of your ability to work in team. Basically discuss and summary a short piece of code. After that, several hours to finish some code task. Interviewer will talk to you some time in between your tasks about your progression and give you some advise on your problem.", What is your approach of this xxx question.   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,, There was no interview   ,Amazon
Declined Offer,Negative Experience,Difficult Interview,"Multiple, multiple interviews, expectation of work before even your first conversation, and aren't really interested in sharing info with you about the job or why you should want to work there. Ask a huge investment of your time, more than is reasonable. No one I talked with seemed to understand that other companies might do things differently than Amazon. Interviews were combative.", Tell me about a time when you had to support an unpopular decision   ,Amazon
No Offer,Positive Experience,Average Interview,"The first several interviews are phone interviews. The recruiter asked good questions, one of them not surprisingly, was what I knew about Amazon. Another was a request to tell him something I am proud of in my professional experience. The entire process was handled professionally, and I was given timely feedback regarding the interview process, which was nice as I was not left hanging for long periods of time.",,Amazon
No Offer,Positive Experience,Average Interview,"I applied to this position online. I was then asked to take a test to evaluate my knowledge of the Italian language and grammar. I was then selected for a phone interview, which was followed by an in person inteview at their office in Cambridge.", Tell us about a time you were given a feedback that made you change your strategy.   ,Amazon
No Offer,Positive Experience,Difficult Interview,"Long but professional, multi-day, phone then small groups hour after hour for 4 hours then a video call to Seattle, then next day a phone screen, answering similar questions with new examples for so long in one day was challenging to not repeat examples due to nerves and not wanting to take time to check notes but notes were allowed", What accomplishment most proud of in current/most recent position   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Quick and easy.. take the assesment and wait for the email.. if passed all you do is go to center, take a swab drug test and then wait to get the email to choose a start date. I'm waiting for them to send me the options for a start date at this time.", All online   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,I had two phone interviews; one with the hiring manager and one with someone I would be working with closely that understood the details of the program I would be responsible for.,"This was a non-technical/ non-programmer role. There were no trick questions, The phone screen questions were specific to the program. The on site interview was five 45min back to back interviews, with a break for lunch. The questions were 100% behavioral based that are intended to be related to Amazons leadership principals. The ""trick"" to getting through these is to come prepared with SPECIFIC examples and how YOU contributed. I",Amazon
No Offer,Negative Experience,Difficult Interview,"I applied for the position and was contacted by a Recruiter/HR representative to do basic interview over the phone, 2. a second interview was set up over the phone with a team member (direct report), 3. the next interview was with the next tier of management over the phone."," What 10 things did you have at your previous job that you kept in your back pocket for driving real, large-scale change?   ",Amazon
No Offer,Negative Experience,Average Interview,"Extremely negative experience. I was referred internally by someone who was at a networking event and asked to submit my resume. Hesitant to do so because she looked very unhappy herself. Followed up multiple times and finally emailed by recruiter asking for availability. Followed up multiple times week after and finally got phone interview scheduled and time was changed the day of scheduled interview. Manager who interviewed disagreed with every response and could not describe job role, team or anything about her role and was very defensive. Confirms the reputation that Amazon is not the best place to work for. Waste of time and most negative and unprofessional experience thus far."," Behavioral questions focused on STAR, however she disagreed with every response. Asked what risk management was and she had no background about the role or why there were so many different names for the position.   ",Amazon
Accepted Offer,Positive Experience,Average Interview,," SQL- Joins, Group by, order by, Index, Normalization, RAID. Excel - Pivot, Lookups   ",Amazon
No Offer,Negative Experience,,"Contacted by recruiter to take a coding test. I took the test but never heard back from the recruiter again. Emailed him for feedback/answer several times. It has been 2 months, no response whatsoever.", basic data structures and algorithms questions   ,Amazon
Declined Offer,Negative Experience,,"Really embarrassing experience, I did not expect Amazon to be so disorganized and unprofessional. The first interview my interviewer was eating a Chipotle burrito and the first thing he told me was that my name reminded him of a appliance company. My Second interview was not even an interview, they just had me take a drug test and the woman told me that they didn't like the fact that I came in a shirt and tie because my position is for more blue collar people. I will most definetly NOT be working for Amazon.", I had to solve a simple lead time equation. And the rest were personality questions.   ,Amazon
No Offer,Negative Experience,Difficult Interview,,,Amazon
Accepted Offer,Positive Experience,Difficult Interview,Difficult and long onsite interview. Phone screen by HR then by data center operations engineer if they approved your skills you'll be recommended for onsite interview at their data center facilities.," Describe the Linux boot process ? What server hardware components do you know ? If you answer this basic questions they will ask every detail components for spinning disks, ssd components. Networking, TCP/IP, ssh, Cisco commands   ",Amazon
Accepted Offer,Positive Experience,Easy Interview,," What is your availability? Saturday - Sunday, Days and/or Nights.   ",Amazon
Accepted Offer,Positive Experience,Easy Interview,"After you put your application in and if they like your application they'll email you to schedule a hiring event. At the hiring event you're given a paper that asks you about availability (be specific with what you want because they make your schedule based off what you put and you'll be stuck with it for a minimum of 3 weeks) and you'll be taking a spit drug test. If you pass the drug test and background check you're in.. you'll get an email to schedule your orientation.. at orientation you'll schedule your training, get your schedule, and watch a few videos.",,Amazon
Accepted Offer,Positive Experience,Difficult Interview,"All interviewing is STAR Method - Behavioral Interviewing. You must really know the technology that you profess to be an expert in, as you will have an expert conducing the phone interview after there recruiter discussion. Onsite interviewing is also detail based in-depth conversations around work experiences from your background; possibly specific to the job description.",,Amazon
No Offer,Negative Experience,Average Interview,,,Amazon
No Offer,Negative Experience,,, Are you open for the opportunity?   ,Amazon
No Offer,Positive Experience,Difficult Interview,,,Amazon
No Offer,Neutral Experience,Average Interview,," Describe amazon principles that you demonstrate,   ",Amazon
No Offer,Neutral Experience,Average Interview,, When was the time you had to work with scrappy data   ,Amazon
Declined Offer,Positive Experience,Easy Interview,"Applied online. Communicated primarily through email. Job and interview process details emailed to ensure I wanted to move forward. Invited for skills knowledge test. Upon passing, invited for an interview on site. Then job offer a few days after the interview.",,Amazon
No Offer,Positive Experience,Easy Interview,"Applied online on July end 2017 at Baltimore and got email within days for contingent offer, was invited for background and drug test, passed that too but since then getting only email saying everything is in process that's taking longer than expected. Wondering if that's happening only for me or everyone else"," Nothing, just saw a presentation about work activities and benifits   ",Amazon
No Offer,Neutral Experience,Average Interview,," Describe a time where you were challenged, and how you overcame that challenge. (STAR method generic question.   ",Amazon
No Offer,Negative Experience,Average Interview,, SQL queries   ,Amazon
Declined Offer,Negative Experience,Easy Interview,"Locked in a tiny windowless room for about 4 hrs. All one-on-ones - 5 people came in carrying laptops. Reading questions off of their laptops and then TYPING my answers in, asking me to slow down and repeat answers. I have never been to an interview that ridiculous. I should have walked out."," Canned, ridiculous questions and quizzes (like ""what's the angle made by the minute hand and the hour hand, if the clock shows 5:34 pm?"").   ",Amazon
Accepted Offer,Positive Experience,,"The hiring process was well worth the wait. I applied 7/24/2017. Went to my hiring event on 8/09/2017. I did a drug and background screen and took a picture for my badge. I also picked my shift. I got my results back 08/23/2017, which is understandable considering they are hiring extensively in large numbers right now. I am now pending my start date. I am so excited to be a new employee for Amazon!", what shift do you prefer?   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,, At the on-site interview each of the interviewers asked a question aligned with one of the Amazon Leadership Principles. Hardly any of the interview was spent on technical skills (maybe this was because of my bona fides in my discipline).   ,Amazon
No Offer,Negative Experience,Average Interview,"The arrogance, selfishness and lack of professionalism were striking. I was told that I would have to do a substantial writing test before I would have a conversation w. the hiring manager (and have any idea if I was a good fit for the position and team). The conversation was in fact not with the hiring manager, but with someone on the team. And she decided to bring along a junior member of the team so that person could get some experience with the hiring process. (Their words, not mine.) That meant they were on speakerphone and it was obviously hard for them to hear me, for me to hear them -- which made the interview that much more difficult. They consistently asked me to repeat myself & vice versa. It was a headache. Oh by the way, the AMZN people were several minutes late. I've had my share of interviews over the years; w, the test and how they chose to handle the interview itself, this was among the worst. I'm old enough that I remember a time when companies made a teensy little effort to put their best foot forward, come across as appealing. Clearly Amazon has moved past that.", Describe your experience   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,, Tell me about a time where you failed.   ,Amazon
No Offer,Positive Experience,Difficult Interview,I was initially contacted via LinkedIn by one of the Amazon recruiters who then scheduled me for an interview with one of the Senior Operations Managers at the San Marcos Facility, Tell me about the most innovative project you worked on what what did you contribute.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"It was a group hiring event where we all participated in filling out forms, taking a mouth swab drug test, and listening to the managers explain what the job consist of. They also reviewed our company benefits and what will be required from us.", They never asked any questions?   ,Amazon
No Offer,Negative Experience,,, Asked are you in front of the system?   ,Amazon
No Offer,Negative Experience,Difficult Interview,"Two Phone in Interview, then called for onsite interview with five people in Cambridge, MA. Each interview took 45 minutes each, there is a lunch break of 1 hour in between, even during lunch break, there will be a amazon person to take to Cafe and buy the lunch and spend the entire time with me.", What was the main difficult problem that you solved in your work?   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,, If you prepare examples from your work experience to co relate with the leadership principles that's all you need to excel. Make sure you use the S.T.A.R method to answer the question. Stick to details and data when responding.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Got an a call with the recruiter after a phone call. Recruiter was very nice, the best I have ever worked with. Very honest and straightforward. We set up a technical phone interview. After the interview, we set up an onsite. The onsite was pretty standard and basically what I expected: heavy focus on behavioral and technical. I would say the split was 60-40. Questions were fairly standard and on the easy side.",,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Interview consisted of meeting at the scheduled time with a large group of other applicants. They checked us in individually, divided us by having people who applied directly on one side of the room and people who applied through a temp agency on the other side of the room. They then gave a brief overview of the company, had us take pictures for IDs, gave us a drug kit to do a mouth swab right there in the room, then we were free to leave with instructions that we would hear something by email once our drug screens cleared. There wasn't any real interview. If you passed the online assessment, was invited in for the ""interview""and passed the drug screen, you were hired.", No questions asked.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,,,Amazon
Accepted Offer,Positive Experience,Average Interview,There is a pre-loop for internal candidates to see if there ready for the big interview which is called a pod. From there the pod will consist of 3 interview which should be 45mins -1hr. Once this process is over they will contact you whether or not you got the job., Tell me about a time when you didn't have time to use any data but had to use your judgement to get the job done? What was the outcome??   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, When was a time you went over managements head and made a decision. How did that go?   ,Amazon
No Offer,Positive Experience,Average Interview,"The initial screening was a programming quiz performed online. This wasn't too difficult because you could do it in the comfort of your own home on your own time. The on-site interview focused mostly on the ""whiteboard questions"" that are mostly academic.", How would you serialize/deserialize a binary tree?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"I was interviewing for a mixed computer graphics / machine learning role, but was asked almost solely standard software engineering and personality questions. No one would clearly describe the role I would be filling until my final interview. It was with a manager whose background is in technical art - during the whole interview process I never spoke to anyone with in-depth knowledge of computer graphics or machine learning, which was concerning. The interviews seemed to go swimmingly, and I was accepted as an SDE1, but rejected from the particular position I interviewed for and instead offered alternatives in other departments. My guess is that since the original position was level 5 and required management skills, I was disqualified and placed as level 4 due to having mostly worked in startups and academia with minimal management. The interview process overall was mostly pleasant, and the interview questions were very reasonable for an SDE. My main complaints are the lack of transparency in job requirements for the position I was interviewing for, and the absence of any interviewers with expertise in the domains I would be working in."," Questions were very similar to those in ""Cracking the Coding Interview"".   ",Amazon
No Offer,Negative Experience,Difficult Interview,"Extremely lengthy, painful, and arduous over a 2.5 month period. One of the worst experiences in terms of time wasted, but at least I learned something from the process."," Many of the technical questions associated with the position being interviewed for, including the general ""why amazon"" etc. Make sure to prepare for the Leadership Principles of the company and have a scenario established for each of the 12 principles.   ",Amazon
No Offer,Neutral Experience,Average Interview,, Tell me about a time where you failed in your current position   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Amazon holds large group interviews for their warehouses and fulfillment centers. It's more of a ""hiring event"" than an actual interview. Amazon only invites those who passed the online application to the hiring events, which are typically held in a hotel conference room. During the hiring event they take our ID, birth certificate or social security card, and current mailing address. Then they have used an oral drug test where we have a plastic stick in our mouths. While we're waiting with the drug test in our mouths the Amazon recruiter goes through a slideshow explaining the type of work we've applied for, the employee benefits, etc. Once the drug tests are completed we seal them up ourselves and Amazon takes them to be sent away to a lab. The hiring event takes about an hour. It was not difficult at all, I was actually pleased to find that it was very laid-back and casual.", Can you stand for up to 8 hours?   ,Amazon
No Offer,Negative Experience,Difficult Interview,Amazon had me do 4 phone call interviews then they flew me to Seattle for 8 1 hour interviews with 10 people. I cannot help but think that the team had me come in spec out what I would do to revolutionize their customer acquisition strategy then not hire me once they got the entire detailed strategy which I realized this new division doesn't even have set up yet. After the 10th interview in 8 hours I found out they were only using their owned and operated sites to drive customer acquisition and they have done nothing with paid media which is what I was brought in there to do and gave a DETAILED strategy on exactly how to do it using their O & O legacy data. I am so annoyed these people wasted my time for 6 weeks and REALLY ANNOYED they made me give such a detailed strategy which they can easily use to start creating their model. A paid media model they said they were working on but come to find out they have not attempted to even begin this. I was told that I was the 3rd person to interview for this job in the 9 months this division has existed in its current form., 90% of all interview questions come from the 10 Amazon Principles   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,Speak with current Area Manager and Operations Manager. They omit a lot of information about the job itself so ask specific questions. They make the job look perfect and try to gloss over challenges since they're scrambling to hire anyone., What/if scenario questions   ,Amazon
No Offer,Positive Experience,Difficult Interview,I applied for a sr. Program manager role with the Alexa team. Got two rounds of phone interview followed by a full day of inperson panel interview. About 8 different people interviewed through the day one on one., Standard amazon principles questions. You can find it on their website.   ,Amazon
No Offer,Neutral Experience,Average Interview,, Explain a situation where you went against the status quo?   ,Amazon
No Offer,Negative Experience,Average Interview,,"Basic SQL questions. Describe a join to a non-technical person. How do you handle a query that does not perform quickly? They want to know that you can use 'explain plans', which I currently do not use (I'm still entry level). Select all customers who purchased at least two items on two separate days. Given a table with a combination of flight paths, how would you identify unique flights if",Amazon
No Offer,Negative Experience,Difficult Interview,,,Amazon
Accepted Offer,Neutral Experience,Easy Interview,"NO INTERVIEW, they randomly select you, and you come in and as long as you pass the background and drug test, you basically get the job. For me it was a waiting game for my start date and waited months, others waited just days. so its all a matter of luck, i guess.",,Amazon
Accepted Offer,Neutral Experience,Easy Interview,, There were literally no questions... Just walked in and listened to what seemed like a sales pitch.   ,Amazon
No Offer,Positive Experience,Easy Interview,hiring and interview process was pretty fast and recruiter was a very nice guy i received an email by the recruiter and the next week i was scheduled for the interview, tell either a string is balanced or not such that every starting parenthesis have a closing parenthesis   ,Amazon
No Offer,Positive Experience,Average Interview,"Was contacted by an internal AWS recruiter about a month after applying. Had a warm up chat with them followed by a scheduled phone screen with the hiring manager I would report to if I got the job. The recruiter told me the standard is to hear from the company within 2 days of a phone interview and up to 5 days after an in person interview. 1 day after first phone interview I was invited to do a second more technical one with a person outside of the team I would be on. The recruiter followed up with me before this 2nd phone interview to make sure I was prepared, quite supportive. 2nd phone interview was ok but because this person had no design background so they struggled to ask any specific questions around visual Design and my web portfolio. They want to know how you problem solve. Struck me more as a culture fit session to see if I'd mesh with AWS personalities. A day after that call they said they were moving on. The recruiter reminded me that interviews were rolling basis and for all I knew someone else had already been offered the gig while they chatted with me as backup. No hard feelings it's all part of the game.", Leadership principles   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"It took over a month to get a response after applying online. Once got a response went to hiring event, did drug and background check and within 7 days got offer for job.",,Amazon
Accepted Offer,Positive Experience,Easy Interview,Lots of emails back and forth but actually the interview is easy and laid back. But just a back ground check and drug test. Very s8 forward process but very timely fashion and matter., Have you ever work for us before?   ,Amazon
Declined Offer,Negative Experience,Easy Interview,"Applied online. Invited to an hiring event where they have an overview of the position and salary. Drug testing done immediately after. Any paperwork not completed prior you are given the opportunity to complete ie: ID info, I9, W2. After successfully passing my background and drug testing I received an email congratulating me and informing me the next step would be to schedule me “start date”. After 5 months I was never scheduled for a start date just kept receiving random monthly email about how they hadn’t forgot about me. After 5 months passed I had forgotten about the job quite frankly and was contacted by recruiting to redo my background and drug testing so that another start date could finally be scheduled. A week later I received the same bs email I did months prior saying how excited they were that I’d be joining the team and to be patient as they search for a start date opening. At this point I’m withdrawing from the position. Most unprofessional process I’ve even experienced!",,Amazon
No Offer,Negative Experience,Average Interview,"Phone screen, then onsite. Met with 6 people on site in Seattle. Very structured interview approach but burden was put on the candidate to scope the role, making it hard for an outsider who doesn't know the amazon approach to collaboration in bd.", How would you collaborate with other stakeholders?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"I applied online. Amazon responded a month later. I Interviewed in Atlanta, GA 3 weeks later. Amazon sent me an offer letter a week after the interview. The recruiting team is on point. I did not feel neglected like I do with other companies.", How do you react when someone does not agree with you?   ,Amazon
No Offer,Positive Experience,Difficult Interview,Two phone interview. and onsite interview in Seattle. People are very nice and friendly but they do not let you get in if you do not give them the complete answers.,,Amazon
No Offer,Positive Experience,Easy Interview,"Was contacted in less than a week after submitting my application. Scheduled for an interview a couple weeks later. The recruiter was very friendly, I interviewed with the manager of the position and an HR representative, it was very laid back and not overly formal.", They asked me to explain how 2 of the company values applied to me.   ,Amazon
No Offer,Neutral Experience,Average Interview,"It started with a recruiter reaching out to me via LinkedIn. Phone screened with him, then did a HireView interview, then a phone interview with the HM peer, then was scheduled to attend a mixer and an in person interview.", Tell me about a time____.   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,"3 Phone interviews lasting approx. 45 mins final in person interview was with 4 people all separate lasting 4-5 hours. All interviews are structured the same starting with a brief background of themselves, brief background of yourselves, asking the question ""Why Amazon?"" followed by the behavior based questions. The phone is 3 to 4 behavior based questions that are in ref. to there leadership principles. The interviewers are looking for long winded very detailed answers with the entire process outlined start to finish. The in person is the same but just 4 of them in a row. The panel is usually a member of HR team, your direct manager, his manger, and a member of operations. Base pay is not negotiable from my experience but the signing bonus and stocks are.", Why Amazon? Tell me about a time when you had to convince a co worker that your way was the best way? Tell me about a time when you had to disagree with you direct manager and what the outcome was?   ,Amazon
Declined Offer,Negative Experience,Easy Interview,"I applied for Amazon back in August by applying online on their website. Complete the basic information, along with days I'm available to work, etc. I also completed the assessment that you have to take in order to get to the next step for the application process. Once I did all of this, I was invited to an hiring event ( before attending the hiring event, Amazon will send you more forms to fill out to your email. Fill the forms out BEFORE attending the event. Check your email prior to the hiring event for these forms. If you don't they have you complete the forms at the hiring event). Once I got to the hiring event, I had to check in with one of the recruiters to make sure they got my information. They handed me a piece of paper with my email address along with shifts to choose from, and phone number (other stuff was on the paper, but can't remember). After everyone had arrived, we had to watch a presentation, basically, giving us an idea of what the company is about and what we are going to be doing. They went over dress codes, hourly rate, and shift preferences. After the presentation, we went to another room where they did background checks (btw make sure to bring your driver's license and your #SS card. Some type of identification with you). Then they had us take a picture for our ID badge. Last but not least, we had to go into another room to take a drug test. The drug test is an oral test. No urine test. After the drug test, we were dismiss and were free to go home. Two days after attending the hiring event, I got an email saying that I had pass my background and drug test. Therefore, they would be sending me a schedule for my orientation. It is now September, and I have yet receive any type of schedule or any kind of update from Amazon. Therefore, I am still job hunting. If you have a job already and plan on applying to Amazon HOLD ON TO YOUR JOB because the hiring process take forever. The only way they will communicate is through email. If you don't have a job, I would NOT depend of Amazon being my only choice for employment. In other words, even if you pass your BG and drug test, still look for other jobs, because the hiring process is very slow.", Are you willing to work overtime?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Apply online got a email immediately after applying to come for new hire sign up. Sat in group of 100 people select preferred shift, take badge picture, fill out background check and took drug test. Then you just wait for a email back about start date.", They did not ask one single interview question.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"This was a group ""interview"". You walk in, get signed up if everything is complete and you have your 2 forms of ID, and watch a PowerPoint. After that you pick what schedule you would like and go get a picture taken for your badge. You then move on to the I-9 portion through them and a drug screen (mouth swab). Congratulations if you pass!", Are you comfortable with the schedule you chose?   ,Amazon
Accepted Offer,Neutral Experience,Average Interview,You go through different rooms and are moved on if they are still interested in your employment. Also a drug test is done on the spot. The showed videos about the company and showed some of the processes. They also showed videos going over all of their policies if you made it to the final process., What warehouse experience do you have.   ,Amazon
Accepted Offer,Negative Experience,Easy Interview,,,Amazon
No Offer,Neutral Experience,Average Interview,"Got the interview invitation one day after applying online, the first round interview was based on using HireVue, in which there were two parts (I applied a bilingual position, so after the first part there was another one asking in Chinese) where each had about 7 questions (2 speaking and 5 writing), after finishing I was told the position was no longer available.", Why did you apply this position?   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,"There almost no interview. I applied online, and received a contingent offer almost 5 minutes after submitting my application. They require a background check and drug test. After those are cleared it is a matter of waiting for the orientation date, which could take weeks depending on what they currently have available.", There was no interview. You apply only and received a contingent offer.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Walk-in, apply on a computer at the recruitment center, receive notice of job offer on the computer as soon as you complete your application, attend a 15 minute presentation about the job and Amazon, meet with an HR rep to collect your I9 info, select your shift, take your drug test and authorize a background check, leave. 4 days later, receive an email from Amazon notifying you that you’ve passed the background check and drug test and tell you when your orientation date and first day on the job is."," No questions were asked but you have to answer psychometric assessment questions during the computer application process. Your answers help Amazon determine your personality type, work style, and work ethic.   ",Amazon
Accepted Offer,Positive Experience,Difficult Interview,"It is a multi-stage interview with an emphasis on behavioral questions and hypotheticals. Different interviewers will focus on the different areas, with candidates typically meeting with between four and five folks.", Identify a time when you disagreed with someone in authority and explain how you dealt with that.   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,, they had no questions   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,Online interview of a few easy questions about different workplace scenarios of how to deal with your fellow colleagues then you have a second interview at the warehouse itself for paperwork and a drug test., Workplace questions   ,Amazon
