interview,question,offer,experience,difficulty,source
"I was contacted via LinkedIn by a Technical Recruiter. I responded and I talked with her about the role. I had two phone screens followed by the on-site interview in South Lake Union. I was shown to a meeting room, and had all of my interviews there. I had 5 interviews of 45 minutes each. The interviewers each had a topic area to focus on. Typically a question about my experience relating to the role for which I was applying (""Give an example of a situation where...""), followed by a couple of questions basically in-line with the 14 Leadership Principles. A couple of situations were well-suited to drawing on the whiteboard, which I did and the images were captured for the interviewer's notes. The interviewers typed non-stop on their notebooks. I was allowed about 5-7 minutes for questions of the interviewers, where I focused on the role for which I was applying, and integrated key points indicating that I had done some research on the company and the role. After the interviews I was thanked and shown out of the building.", Describe to me how you would index the books of a public library? How would you provide search capabilities for the customer? What performance optimizations would you do?   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
," None. Study the other variations on the math problem (several are posted on GlassDoor). They will change it after you give your initial answer- they want to see if you can think on your feet and handle stressors caused by change. Be calm, think, then respond.   ",No Offer,Positive Experience,Average Interview,Amazon
, Simple questions and answers   ,Accepted Offer,Neutral Experience,Easy Interview,Amazon
1 telephone interview - was pretty easy and to the point. Interviewer was very nice over the phone and prompted me with answers," When asked if I thought people steal and I responded with a ""yes"" answer, she wanted to know WHY I had not reported it. I answered because ""I had no proof"" but she wanted to make sure I WOULD report it in future, even if just speculation.   ",No Offer,Easy Interview,,Amazon
"Don't pay any attention to the negative reviews of Amazon's interview process. They've got this thing wired now. The phone interview went off without a hitch; basic leadership type behavioral questions. Within two days I was notified that they would fly me out to Indianapolis for another round of face to face interviews. The math problem and case studies came in an email shortly after that. The point of contact for this process was locked on and professional. The flight and hotel and rental car were all taken care of. When you get to the interview location you will be put into a small group with a minder to escort you around and get you where you need to go. The interviews were three 1:1 interviews and then the math/case studies discussion with senior management types who came out specifically for this event. None of them were combative or grumpy. I estimate that about 200 candidates went through the process, spread out over three days. The Talent Acquisition personnel were very helpful and gave out lots of pointers on how to do well in the interviews. They were very clear that we were not competing against each other for one job. They have hundreds of openings and they are looking for solid leadership skills that make for a good fit within their corporate culture. Each interviewer had a competency to focus on. Figure out what that is (it will be obvious, in fact he or she will probably tell you what it is) and then bend all your answers to that topic. They tell you several times during the process to bring up numbers and quantified success. My advice: even if the question has nothing to do with numbers, like a leadership or motivational ability question, put numbers in your answer anyway, and do it at the start of the question. (""When I was with XYZ Corp., a 2.3 billion dollar company, in charge of n employees, I showed leadership by..."") The math flow and case studies are more conversational in nature. And when they say 'show your work' they mean they want to see the actual full-out equation that gets the numbers you talk about. After you go through that the curveballs start and you just describe how you would adjust. It was the portion of the process that I feared the most and it turned out to be my favorite part. There was no problem with my return flight and the offer came in the next week. I accepted."," I think these are covered by their NDA. They want good leaders, if you are one you will have no problem answering the questions.   ",Accepted Offer,Positive Experience,Average Interview,Amazon
Amazon found me on Career Builder and reached out to schedule an initial interview. I talked to a contracted recruiter on the phone then was put into the interview loop. I had a phone screen interview with a member of the team then a more detailed 1-hour technical interview where I was quizzed a little deeper. After I passed that I was invited to Seattle for a day of intense interviews., Amazon has decided to compete directly with Netflix. Design the system (top to bottom) that will help us win the battle.   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
, I need to respct my NDA   ,No Offer,Negative Experience,Average Interview,Amazon
"Hiring process can be very fast. If you qualify and seem like a fit, they will stop interviewing and hire you. Amazon doesn't require four candidates in interview phase in order to hire one person. You may not get the job for which you apply, but recruiting pays attention to possible fit for their teams among the ""not a fit for this job but a fit for Amazon"" pool."," Questions are focused on what you have done and achieved, not on theoretical behavior. Be ready with examples and more examples, and lots of data.   ",Accepted Offer,Positive Experience,Difficult Interview,Amazon
,,No Offer,Neutral Experience,Difficult Interview,Amazon
Submitted my resume via their internet website. I was contacted by phone and by email regarding interest to do an intial interview process. Interview done over the phone with what I call an interview screener. The screener had ask me several questions with the last one being the most unexpected., Describe a time when you went outside normal porcedures to get a project done.   ,No Offer,Neutral Experience,Average Interview,Amazon
I applied a a lot of jobs within amazon and received an email asking to schedule a phone interview. The interview asked very obscure questions and I felt very uncertain about the interview afterwards. I received another email telling me I made it to the next round of interviews and I scheduled another phone interview which was also quite obscure. I then received an email telling me I did not get the position.," For the music department we have to forecast the first two weeks of sales so that we can have enough inventory, Dave Mathews Band is coming out with a new CD, how would you go about forecasting sales?   ",No Offer,Positive Experience,Difficult Interview,Amazon
, How would you balance the requirements between the user goals and business goals?   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"My initial interview was with Recruiting at Amazon, it was a phone interview. My experience was casual, and a lot of the interview consisted of me talking about what I've done so far and what made me consider being employed at Amazon. The second interview was with my Hiring Manager, it was very pleasant and like the first interview, it consisted of a lot of casual conversation about hobbies and interests, as well as goals."," The most difficult question was during the first interview, and I had to explain certain features in an operating system like a five year old. Really it was just to make sure I could create analogies on the fly as well as be technical, but not confusing to customers.   ",Accepted Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Positive Experience,Difficult Interview,Amazon
"After having applied to a number of positions on the Amazon.com careers website, I received an email from a recruiter saying hiring managers from a specific division were interested in speaking to me about the position of brand specialist. After replying with my availability for interviews over the phone, I was scheduled for a 60 minute interview with a department manager. I found the first interview to be challenging as the job description I had been provided with was not really a high level job description and lacked specifics I would expect to know before an interview. During the interview, my interviewer stressed the importance of forecasting and data analysis involved with this job and asked questions in regards to my experience with these. Aside from asking that I go over my resume with him, I can't recall any other specific questions being asked during this interview. The interview ended up lasting only 30 minutes. I received an email shortly after this interview requesting my availability for a second interview. My second interview was conducted with a different department manager and was definitively personality-centered in contrast to the initial interview. Amazon will hire the best and wants people with high intellect who can work together. While I thought I had done a good job during the first interview, I felt I had nailed the second interview. Unfortunately, I was not selected."," If you strongly believed in an idea and were in a situation where your colleagues did not support your idea, how would you react? The question was something along these lines...   ",No Offer,Neutral Experience,Difficult Interview,Amazon
"Fairly straightforward interview three rounds of phone screens prior to face to face interview. Once you pass all phone screens plan to travel to Seattle and spent 4-5 hours doing face to face interviews with employees. Also, for any sales positions expect to present a business plan and mock sales pitch to current sales reps.", Expect to know the product and technologies quite well even as a sales rep. Most reps have an engineering or very technical background   ,No Offer,Positive Experience,Difficult Interview,Amazon
,,Accepted Offer,Positive Experience,Easy Interview,Amazon
, validate a binary tree   ,No Offer,Negative Experience,Average Interview,Amazon
Initially recruiter contacted me and set a phone screen followed by in person interview.,,Declined Offer,Positive Experience,Difficult Interview,Amazon
You send in a sample of your work. 30 days later I was contacted Via email. Once they contact you they start sending you work. If you like it you accept the work if not you turn it down., None they base your projects off your work sample.   ,Accepted Offer,Neutral Experience,Easy Interview,Amazon
"HR scheduled an interview in campus recruitment , Two technical interviews back to back of 45 mins . Asked a lot of software fundamental questions. Be prepared", How do you remove red nodes and get the entire tree structure in a red black tree   ,No Offer,Positive Experience,Difficult Interview,Amazon
"Got two phone screen interviews after I emailed the HR, the first one was nice and the guy on the other side asked some basic questions, like OO concept, differences between override and overload, time and space complexity of some sorting algorithms, then he gave me four hours to write a neat, bug-free doubly linked list followed with OO design. The second phone interviewer began with a project on my resume, I should have one copy in my hand but I didn't, so I try to recall what's there on my resume and answered his questions. Later on was a couple of tech questions, we worked through several ways to identify the most common character in a string, considering time and space complexity. Then he asked me to implement one of them. After that, it's about ten minutes to reach one hour, but he gave me another question on OO design, I could't make through but still got something for him, then he said he's got important things to do so we finished at one hour point. I thought I didn't do a good job at the second one, but an on-site interview comes after one week.",,No Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Neutral Experience,Difficult Interview,Amazon
, Describe a time when you disagreed with your manager about a direction or strategy.   ,Accepted Offer,Neutral Experience,Difficult Interview,Amazon
2 phone screens then an onsite 6 person loop plus presentation, How will you attack your territory in order to produce results right away?   ,Accepted Offer,Neutral Experience,Difficult Interview,Amazon
2 Phone interviews. Both involved writing code by hand., I expected higher level questions for a senior position. I was not expecting all of the questions to be about foundational data structures and algorithms (which I was a bit rusty on).   ,No Offer,Positive Experience,Difficult Interview,Amazon
"The interview process was the most professional that I have ever had! From the manner in which each step was taken (e.g. initial phone screens, scheduling of the face-to-face, and the final interview), it was obvious that Amazon only wanted to hire quality staff to join their highly intelligent, good humored, friendly, and casually attired team."," Based upon given programming language(s), there were questions for which a person had to read some code, debug the algorithm, and provide a correction. This was used to test a person's proficiency with the language as well as their thought process on the problem.   ",No Offer,Positive Experience,Difficult Interview,Amazon
"Interviewer was not very friendly, sounded like he wasn't interested in interviewing, and was fishing for cookie cutter answers to cookie cutter questions. One question involved a non-standard data structure that the interviewer refused to define for me but wanted to ask questions about. I was going off of general programming experience and college CS, but it seems like that isn't enough and you need to read all of those ""100 CS interview secrets!"" books cover to cover so you have the same question bank as them. If accepted, I wouldn't have joined, because the interview was indicative of a workplace where requirements are not properly defined and you're just supposed to dream up what is expected of you among uncooperative peers. I ended up interviewing for and accepting a level 3 position at a company of equal reputation a month after this.", Q: What is the Big O time for insertion in Doubly Linked Lists   ,No Offer,Negative Experience,Average Interview,Amazon
, Some OOP design question   ,No Offer,Positive Experience,Difficult Interview,Amazon
"half day process, complete with facility tour, corporate culture introduction and behavioral science based interview questions."," What makes you different, and why should we care?   ",No Offer,Positive Experience,Average Interview,Amazon
"The interview process begins usually with a phone interview, then if you're fortunate, you move on to the next round which usually includes a day of interviews depending on the position In my situation I met with 8 individuals from various levels who had direct/indirect impact on the position I was applying for.", What are one of the successful traits an executive assistant should have?   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"The interview process was in two parts. First, there was a timed skills test, in which you have to perform simple math and assess priorities. Second, there was the interview, which involved questions and a role play with an underperforming coworker.", How often do you find yourself smiling?   ,Declined Offer,Neutral Experience,Easy Interview,Amazon
"After answering the advertisement, you receive a email from a recruiter. The recruiter sends you a questionnaire and you have to return it. Next there's a phone interview if they like your answers. The phone interview was with a computer representative and a person that ask questions similar to HR. Then you wait to hear back from the phone interview. If you make it this point then you're scheduled for a in person interview. This interview was one hour and a half. It was divided up into three sessions with two of their reps. Questions started at the technical level then they accelerated to how you respond with groups and then why you want to work for Amazon."," Most unexpected question was ""What will working for Amazon do for your life?""   ",Declined Offer,Positive Experience,Average Interview,Amazon
," Some question about merging arrays, which was already mentioned on Glassdoor.   ",No Offer,Negative Experience,Average Interview,Amazon
, Create a merge sort algorithm   ,No Offer,Neutral Experience,Average Interview,Amazon
I was unprepared for the interview and need to better prepare myself. I needed to exit the military lingo and learn how the civilian sector speaks and talks. Learn how the whole process works, My personal failure   ,No Offer,Negative Experience,Average Interview,Amazon
,,Accepted Offer,Positive Experience,Average Interview,Amazon
, What is singleton and its characteristics.   ,No Offer,Neutral Experience,Easy Interview,Amazon
Start with 1-2 phone screen then you go in for an in-person interview. You meet with 5-7 people for about 45m each. They ask you a mix of behavioral and technical (role-specific) questions. People in the loop are mostly from the team you'll be joining except for one who is from outside and has veto power., Tell me about a time you had to stand up to your management chain.   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"You first do a skills test then watch an employment video, before talking directly to a hiring agent, who may administer a drug test right then or schedule one for another day. You will be notified in a few days by phone or email to come in for an orientation, which means you have been hired, and your days/shift will be confirmed. Start date could be almost immediately (depending on the company's shift needs) or as far out as two weeks.", Are you comfortable with walking several miles each day?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
, Asked me to demonstrate how I dive deep into something.   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
They use the STAR method. Have lots of examples of customer service experience.Let them know what you bring to the 'table' how you can help. They want to know that you will do what is right for the customer. They also want employees that like change., Name a time when you had a difficult customer.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"Standard process, 2 separate phone interviews. From there, I was invited to come to Seattle for in person interviews. Received a call a week later with offer and declined. Phone interviews were about an hour each, with about 2 weeks in between. The on site interview was schedule about 10 days out and took a day and a half with travel. The travel accommodations were very nice. The feedback time was also fine. They got back to me within a week of the interviews."," Sorry, do not recall questions. All were behavior based on the leadership principles you can find on their web site.   ",Declined Offer,Negative Experience,Average Interview,Amazon
"phone interview, in person , drug and back ground screening very short and to the point they may ask you different scenarios and how you were to handle them most stuff is common sense. if you have prior management experience you may be eligible to go to an amazon ""tier 3"" which basically meany your the area managers right hand but you don't get paid management money.", very normal interview questions   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
Amazon took over operation of the sort facility and offered the opportunity to those that qualified to work for them., there were none. questions were all pretty traditionally in line with an interview   ,Accepted Offer,Neutral Experience,Average Interview,Amazon
"2 Phone interviews. 1 with a recruiter, another with the hiring manager.", How would you tell a customer what Wi-Fi is?   ,Accepted Offer,Neutral Experience,Easy Interview,Amazon
, what is your most significant accomplishment   ,No Offer,Positive Experience,Average Interview,Amazon
,,Accepted Offer,Positive Experience,Average Interview,Amazon
I was originally contacted via e-mail by a recruiter and told that the hiring manager wanted to speak with me. I had a 1hr conversation with the hiring manager that involved just a couple of SQL questions and then behavioral questions. A few days later the recruiter told me I would be moving to the next round and scheduled a 2nd interview 13 days later. The 2nd interview was a technical SQL interview that lasted 30 minutes.,,No Offer,Neutral Experience,Difficult Interview,Amazon
,,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"The ""boutique"" recruiting agency ""Simplicity"" set up an interview with AWS Amazon.com. I asked them 4 times if I was too old to be considered for a postion. They of course didn't know, and still insisted I spent the transportation money and went and was treated terribly. Simply because I was not 30. I tried to tell this to Simplicity and they kept insisting I not put it in email, which of course is a record of their failures. I kept trying and after 3 tries and being told my own experience didn't count, I got to their CEO. She of course will do nothing, as all parasitic recruting companies do, they simply continue to suck the blook of workers and never defend them. Repulsive!"," Amazon.com, in an effort to illegally find out how old I was, after having successfully passing a nonpaid phone interview, asked if I had children. Absolutely illegal in this country. Breaking the law.   ",No Offer,Negative Experience,Difficult Interview,Amazon
"Fast process. They don't follow the ""interview 4 to get 1"" policy of some other huge companies. If they interview you and your credentials check out, you're in. Two phone screens, a full day of interviews, and an offer within the week."," Amazon has at least one person in the interview schedule whose role is to stress you with rudeness, ridiculously hard questions that are out of scope, or information that makes you want to run for the door. If you really want to work there, be intelligent, thoughtful, unflappable, and right when you answer.   ",Accepted Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Negative Experience,Difficult Interview,Amazon
, The most unexpected interview question was Why is it important for you to learn new things?   ,No Offer,Positive Experience,Difficult Interview,Amazon
"The process started in May and ended in August. Phone interview with a Contract Manager went very well, then the ""homework"" - draft an agreement for catering services. Easy or so I thought, I have over 10 years in contracts drafting and they said thanks but no thanks without any explanation as to what I did or didn't do right."," Didn't get that far, but I have to say this is the third time I have gone through this process and each time it peters out after the homework. It is very difficult to understand what they want because in a real life job, I have never had a problem drafting a contract.   ",No Offer,Negative Experience,Easy Interview,Amazon
Attended a Dice job fair and sent my resume online to the recruiter there from Amazon. Response was very quick within two weeks. Have completed two phone interviews waiting for the next step. Each interview was arranged a week after the previous., What is detail page latency? How can this be improved? How can this be broken down (click an item and then what happens until new page pops up).   ,No Offer,Positive Experience,Average Interview,Amazon
, Describe a situation that had a negative outcome and what you would have done differently looking back.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"HR contacted me after I applied online, had forst phone interview, time ran out before completing the algorithm so the interviewer asked me to email it to him. Then, the next day got a call from HR to schedule another phone interview, this time I kinda screwed it up, I took the whole time to solve the problem, couldn't so interviewer asked me to send it in 40 min, I did manage to send it in 3 hours, but got rejected the next day :(",,No Offer,Positive Experience,Difficult Interview,Amazon
Behavioral interview where even the senior folks were going with the script which was boring and easily to fool through. The leadership principles was definitely over rated. Everyone was very snooty., Tell us about a situation where....   ,Accepted Offer,Negative Experience,Average Interview,Amazon
"Submitted a resume through campus career center. Got a call back within 3-4 days. I went to their office and had four 1:1 interviews back to back, 30 each. 2 were technical and other two were behavioral. About 5 days after I got a call saying that I got an offer.", What are things that could be improved for Amazon?   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
Recruiter was quick to respond to posting and very responsive in following emails although there was very little actual phone time with the recruiter. Went over 2 rounds of phone interviews; one technical and one managerial. Technical was relatively easy and managerial was very focused on personal approach to project methodologies.,,No Offer,Positive Experience,Average Interview,Amazon
"I submitted an online interview and was contacted immediately for a phone interview. I was successful in the initial phone interview and was then contacted to complete a second phone interview. The interview questions were almost identical and basically asked situational questions and questions on how you dealt with certain situations. Two days later, I was called and invited to an on-site interview in Seattle with 4 separate individuals. I arrived the morning of the interview and quickly realized that I would not fit the culture of the organization. I decided that since I was there, I would do my best and go along with the interview. There was no diversity in the office and only 4 people out of the 200 or so that I saw looked like me. I arrived around lunch time so I got a chance to see a lot of employees after they left the building. Once I arrived, I was escorted to a room where each interviewer would come to interview me. All of the interviewers were nice, but they seemed to all ask similar questions, but wanted you to give a separate response each time. Unless you deal with difficult customers all day and unless you have managed a team of underperformers for years, you will not have 4 separate incidents, unless you make them up~~ I am confident that I ACED the interview, however, I looked online to learn that I had not been selected for the position. I then received a call confirming the same. The recruiter understandably could not provide feedback but indicated that the interviewers felt I was a better fit for another position for which she would schedule me to interview for.. That was shocking considering I have an MBA and have managed a call center for 10 years. Anyway!!!. I was called several days later to interview for a Quality position for which I did not receive further consideration either. I want to work for Amazon despite the many terrible reviews I have read concerning work/life balance because everyone is different. I dedicate myself to my job while taking care of my family so I dont' think that will be a problem for me. However, I think it's time to move on because I don't fit their culture.. Doesn't appear there is a lot of diversity there.... I have put in for several more positions and each day I check and another states, ""no longer being considered"".."," None were difficult, just be prepared to come up with 4 separate situations for such questions as ""discuss a time when you had to handle a difficult situation"", discuss a time when you had to fire a non/underperforming employee"" etc. They do not want the same answers and they type your responses in and compare them at the end of your interview.   ",No Offer,Difficult Interview,,Amazon
,,No Offer,Neutral Experience,Difficult Interview,Amazon
," ""Name a time and decision in your career where you had no analytical data or ability for observation where you made a development decision that was in opposition with upper management and you were right.""   ",Declined Offer,Negative Experience,Difficult Interview,Amazon
, All the questions were typical and can be seen here already. I signed an NDA so I won't be posting any of the questions here.   ,Declined Offer,Neutral Experience,Difficult Interview,Amazon
"Phone interview, followed by in person interview. In person interview lasted approximately 5 hours."," ""I have several different routes I can use to commute to and from work each day. Say I hired you to recommend me the best route. Walk me through the thought process of how you would determine which was the best route.""   ",No Offer,Neutral Experience,Difficult Interview,Amazon
"Hiring process was well organised, submitted application and within 2 days the recruiter had made contact. I had three phone interviews each about a week apart, with different people, I later met them both at the in person interview. They flew me to Seattle, flew in the day before my interview, and flew out the day after. Interview day was long 8 people, over about 7 hours, including being interviewed over lunch (in the same room with take away). Interviewed by a variety of people, people at level from 3 related areas, 1 more junior, 2-3 more senior people (who were first up in this case), as well as the person who would be your direct manager (who they call the hiring manager in this case - in the end you are their responsibility and they get to make the final call)"," Lots of questions about how you make decisions, how you prioritize and how do you manage expectations when you have overcommitted to deliver.   ",No Offer,Positive Experience,Difficult Interview,Amazon
"Contacted the campus recruiter and submitted an application over the web. There was a phone interview, and then I had to go into the Amazon HQ in Seattle to fully interview. There were three back-to-back half hour interviews. It was mostly a qualitative questions with a single question about price point.", If we are making X amount of revenue on 60 units of product and the profit is X - what would the new price point have to be in order to make Y revenue.   ,Declined Offer,Positive Experience,Average Interview,Amazon
"Initial phone screen. Then 6 back to back 45 minute in person interviews at their headquarters in Seattle. All the interview questions were your standard behavioral/situational type STAR method questions. Interviews were noticably more difficult as the day progressed, ending with the ""bar-raiser."" The role of the bar-raiser is to make sure that you are better than 50% of the Amazon employees already doing the position you are applying for and to offset the hiring manager's need to fill the position quickly. The bar-raiser has veto power on whether or not you get hired.",,No Offer,Positive Experience,Difficult Interview,Amazon
Was contacted by a recruiter after an on-campus event. The interview process consisted of 2 phone interviews. Both interviews focused on basic knowledge of algorithms / data structures and some problem solving.," You have an MxN matrix and a robot trying to go from top-left to bottom-right.. Write a program that calculates the shortest path from top-left to bottom-right that does not go through a negative value. The robot can only move ""down"" and ""left"".   ",Accepted Offer,Average Interview,,Amazon
2 seperate phone interviews each for an hour,,Accepted Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Negative Experience,Difficult Interview,Amazon
"I was referred to the job by a friend. He completed the phone screen that day, and invited me to the interview that would take place that weekend. They paid for me to stay in a hotel the night before and for dinner before being shuttled to the warehouse for a company tour and two 45 minute interviews. The entire process took 6 days. I interviewed on Friday, and received an offer from the recruiter that next Tuesday.",,Accepted Offer,Positive Experience,Average Interview,Amazon
," Given a trie and a prefix, find the word (in the trie) that starts with some subsequence of the prefix and also has the longest such subsequence.   ",Declined Offer,Positive Experience,Difficult Interview,Amazon
"Three rounds of phone interviews all scheduled through e-mail communication. The interviews were the typical technical questions and nothing out of the ordinary. Wait time between each phone interview and the follow-up was about one to two weeks, and I did not make it to further rounds.",,No Offer,Positive Experience,Easy Interview,Amazon
"Tough and lengthy. I spoke to a lot of people on the phone, and meet with a lot of people onsite for an IC role. You meet with HM, Human Resources, Peers, other Managers, someone outside of organization. Be prepared for a long day, and the schedule will change likely."," Ability to deal with ambiguity, innovation, customer obsession   ",Accepted Offer,Neutral Experience,Difficult Interview,Amazon
,,No Offer,Positive Experience,Difficult Interview,Amazon
"Phone interview, twice, and then hired after background check was completed. No in person interview was conducted.", I did not find any of the questions difficult or unexpected.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
,,Accepted Offer,Neutral Experience,Difficult Interview,Amazon
"Fantastic process, they rely on your overall status as an employee and base it on experience. Would work here again, great benefits as well. Weak management team. Like people who are full of themselves, not the ones who use actions instead of words.", Brag about yourself   ,No Offer,Neutral Experience,,Amazon
"I did two phone screens and then came in for an in-person loop, where I met with approximately 7 people including a lunch interview. It took a few days to hear the final decision; recruiting seemed to move a little slow, but I'm sure it was due to the schedules of all involved with the interview.", Tell me about a project you were working on that was receiving resistance and/or not gaining the traction you needed to. What was the situation and how did you manage through it?   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"Participated in 3 different phone interviews with different teams. They insisted on doing technical interviews over the phone that probably would have been better suited to an in-person interview. First individual I spoke with didn't have any technical questions whatsoever and lasted less than 30 minutes. Second was more technical, but for a different internal group. Last individual was also for a different group and was somewhat technical in nature. I didn't feel these interviews really allowed you to discuss your background very well and I don't think phone interviews are very effective for the type of technical questions they were asking. They would have been much better in person with a white board. HR is fairly organized about getting back to you in a timely manner. I have heard Amazon has a high bar for hiring and that may be true, but these interviews did not seem all that effective for them to really gain an understanding of the candidate and whether they would be a fit in the organization. Ultimately, they have a ton of jobs in my field that they are trying to fill. I have a very good background in what I do and was really surprised that they did not even entertain meeting me in person. I was easily able to find a position with a different company that seems to care that the position is a fit for the company AND the candidate. I think Amazon needs to rethink their interviewing process.",,No Offer,Neutral Experience,Easy Interview,Amazon
,,No Offer,Neutral Experience,Easy Interview,Amazon
,,No Offer,Neutral Experience,Average Interview,Amazon
two round phone interview and on-site interview. Basically concerning OOP and algorithm. The interviewer is nice to talk with. The question is not too hard. Just be well prepared. It is one month later before I receive the second round phone interview. Don't hesitate to write a letter to the HR when you have not received any notification for half a month.,,No Offer,Neutral Experience,Average Interview,Amazon
Applied online. Waited a week or so for a phone interview. Waited a couple weeks after for the face to face. The face to face was fairly easy possible due to the expansion of warehouse only was asked three questions. After the face to face had to wait about a month an a half for a start date., What are your strengths?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"Software manager Called me up by phone. He seemed very nice and went over my resume and explained his team plus job. He asked one question to code on collabedit, write a modified stack that has a get max function. All operations are in o(1) time. I gave them a decent answer but After a bit of him pointing out the flaws and me fixing the code up. I think he expected perfect answer on the first try.",,No Offer,Neutral Experience,Difficult Interview,Amazon
I applied online and received an email from HR in 1 week. She scheduled a phone screening interview. I have asked her a follow up question about the interview: salary range and the role of the person conducting the interviews. I received no repose at all. After a phone screening I got no feedback as well., Reason to work for Amazon   ,No Offer,Negative Experience,Average Interview,Amazon
"Campus Hire. Interview pod with 2 managers. One covered analytical math problem and case study, the other did the behavioral questions. Interview was casual, with interviews in T shirts and sneakers."," The company you work for has a strict attendance policy. You have an associate that carpools with another associate in a different department. The 2 associate are late constantly. You manage one of the associates who tells you his carpool mate has not been reprimanded for coming to work late, though your associate has received feedback for it. What do you do?   ",Accepted Offer,Positive Experience,Average Interview,Amazon
"Had a phone interview with the HR person. Then was called onsite for an interview with the Sr. VP of Supply Chain, Director of Supply Chain, Sr. Manager of Supply Chain. I also had to take an onsite math test and a case study. I was asked a series of general questions as well as trick questions and riddles. Then after 3 weeks I was called onsite again for another round of interviews with 4 Sr. Managers of Supply Chain. The next day I was offered a job.", There were lots of math questions that I was supposed to solve orally!   ,Declined Offer,Positive Experience,Difficult Interview,Amazon
, How can you design a highly scalable system to fulfill given requirements .... ?   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"I got 1 round phone interview, and 3 algo questions in it. Then I was brought to do onsite. I met 5 people from 9:00am to 1:00pm. Everyone came to ask me algo questions and Object oriented Design questions.", Merge two sorted Array   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
," Given a binary tree, convert it into a doubly circular linked list. The structure of the tree was given by the interviewer and also the structure of the doubly circular linked list.   ",No Offer,Negative Experience,Average Interview,Amazon
Applied online. Got a technical phone interview the next week. Was flown onsite the week after for a 1:1 battery with 4 people. The questions were really fun and the interviewers try to make you feel comfortable.," Maps, Recursion, and good OOP are your friends.   ",No Offer,Positive Experience,Average Interview,Amazon
Phone interview was not technical at all. Spent a lot of time with basic overview of resume.,,No Offer,Negative Experience,Easy Interview,Amazon
"I agree with the person who said the behavioral questions bordered on berating. The interviewers seemed to insist that I must have had X situation come up, asking variations of the same questions in a row.", Biggest mistake at your current job.   ,No Offer,Negative Experience,Difficult Interview,Amazon
"A long slog of a day with many exhausted and burnt out interviewers. HR rep was helpful and courteous. Obvious that the team had been interviewing candidates for weeks or months. Most seemed mentally absent and wanted to get on with their day. The panel was full of expressionless, unsmiling people who just seemed over it. Only the hiring manager and the wild card guy (I forget what they call those people, the ones that test for intellectual and culture fit) had any energy toward the conversation. Depressing team.", ...but have you designed anything transactional? (after presenting several complex portfolio pieces)   ,No Offer,Negative Experience,Difficult Interview,Amazon
"It through Integrity Staff recruitment, I walk in after seeing an advertisement. They have well organized since they receive a lot of people, so everything is well structured and they are clear about the next step in process."," They did test on a computer and then checked documents, drug test, clear and friendly recruitment.   ",Accepted Offer,Positive Experience,Easy Interview,Amazon
"Lots of chaos and being passed around from recruiter to recruiter over initial phone screens. Phone screens ranged from pleasant to arrogant. Actual interview fairly standard for big tech: portfolio review, team interview, manager interview, couple 1-1s, random ""bar raiser"" interview who evaluates against the slightly cultish/creepy corporate values", Nothing atypical. Some of the interviewers were reading from a sheet of questions. Everyone will be taking notes instead of making eye contact when you are speaking or presenting which is irritating and rude   ,Accepted Offer,Neutral Experience,Difficult Interview,Amazon
"got an email to schedule 2 interviews with 2 different people. it was very technical, they ask you a question and you have to code a solution and describe it to them. make sure you review the fundaments of the language, things like limitations of the language, memory usage, ect.", java fundaments   ,No Offer,Neutral Experience,Difficult Interview,Amazon
," all questions involve solve problem, then try to solve it better. they want to see how you think   ",No Offer,Positive Experience,Difficult Interview,Amazon
"I received a phone call from a recruiter asking to schedule an interview. I then had a phone interview with a member of the team the position was with. I'm not sure what the interviewer's role was on the team. After not hearing from the recruiter for a week, I emailed her and asked about next steps.",,No Offer,Neutral Experience,Average Interview,Amazon
"It was a good process, and the recruiters were supportive and communicative throughout. A recruiter reached out to me, we scheduled a phone screen. Following that I had two other phone screens. I was asked to submit a writing sample. I also was flown out to Seattle and met onsite with five different people. Lots of different questions ranging from 'tell me about your experience' to 'how would you solve this problem.' Everyone was very friendly- they are really looking for smart, creative and truly innovative people who think big, have good ideas and can back them up.", Under NDA- cannot share this.   ,No Offer,Positive Experience,Difficult Interview,Amazon
, What was a mistake you made in your current role and how did you recover?   ,No Offer,Positive Experience,Difficult Interview,Amazon
