question,offer,interview,experience,difficulty,source
 Fibonacci: recursive and iterative.   ,No Offer,Contacted me over email after submitting to Facebook U. I had an interview with an engineer a month after I submitted my resume. The recruiter was very friendly and kind throughout the entire process.,Neutral Experience,Average Interview,Facebook
" If you were in a position with a CMO and they were really on your case about something that you didn't know the answer to at the time, how would you respond?   ",No Offer,I had a series of four interviews. I was a contractor at Facebook applying for an internal role so the process is likely a little different than an external candidate.,Positive Experience,Difficult Interview,Facebook
 How would you create a dictionary with the given words?   ,No Offer,,Negative Experience,Difficult Interview,Facebook
" They asked me a case study type question about how I'd approach a product launch in a new market. However, they gave me only scant information about the product, so that was quite challenging. In the end, in turned out that I was being interviewed for a different role than project manager, which was supremely confusing.   ",No Offer,"I submitted a resume via a person I knew who worked at the company. I did an initial phone screening with an HR person. After passing the screening, I was brought in for three in-person interviews the same day.",Negative Experience,Average Interview,Facebook
" What options do you have, nefarious or otherwise, to stop people on a wireless network you are also on (but have no admin rights to) from hogging bandwidth by streaming videos?   ",Accepted Offer,,Positive Experience,Difficult Interview,Facebook
" Typical types of tree questions, such as finding the maximum tree length, closest path to various sets of nodes, along with being able to detect levels of all nodes as efficiently as possible.   ",Accepted Offer,"Two interviews, back to back, 30 minutes each. They were reasonably difficult, but nothing too difficult. Given the time constraint, it can be very hard to through all the questions. Post-interview however, the recruiter took us out to dinner.",Positive Experience,Difficult Interview,Facebook
" The interview was pretty straightforward. The technical question had something to do with rearranging letters in a word, can't remember the details anymore.   ",No Offer,Was referred by an employee working at Facebook. Was paired with a HR guy who facilitated the process via email. Did a phone interview with an engineer about a week after first contact. Did the technical interview and was told I would get a decision within the week. Didn't get a response after trying to follow up so I took it as a no.,Neutral Experience,Difficult Interview,Facebook
" 3-sum problem, link lists   ",Accepted Offer,"three phone interviews. 2 technical, 1 team matching. three phone interviews. 2 technical, 1 team matching.three phone interviews. 2 technical, 1 team matching.three phone interviews. 2 technical, 1 team matching.",Positive Experience,Easy Interview,Facebook
" ""What is your favorite networking protocol?"" Follow-on: ""What do you like about it and what don't you like about it?""   ",No Offer,,Neutral Experience,Difficult Interview,Facebook
" I was asked to prepare a research plan around a specific challenge, and had a couple days to prepare for it.   ",Declined Offer,"There was 1 brief phone screen, a second video chat interview, then a last round in person at their HQ meeting different team members. While at their HQ I was toured around their campus by their main recruiter and got a sense of the work culture. I had specific requests to meet individual team members, which they obliged, and connected me with in brief informal discussions.",Positive Experience,Average Interview,Facebook
 What is a data structure?   ,Accepted Offer,"The interview was a fun experience - they asked me a lot of technical questions about the programming language that is known as SQL. The second phone interview was able the programming language of my choice, so I choose Java. I had to know about the things known as data structures for the interview and was able to optimize my solution because I'm a boss.",Positive Experience,Difficult Interview,Facebook
 I was asked to find a Fibonacci number. It wasn't Fibonacci per se but very similar. It is solved the same way.   ,No Offer,,Neutral Experience,Average Interview,Facebook
 I don't think any question was terribly difficult -- I was asked about how well I knew CSS even though it wasn't included in the job description. That was kind of unexpected.   ,No Offer,,Positive Experience,Average Interview,Facebook
" It was the most difficult interview in my life. For 45 minutes, they never stop asking questions about your goal as a designer and your work.   ",No Offer,,Negative Experience,Difficult Interview,Facebook
" ""What's your favorite Excel function?""   ",No Offer,"Applied for an Account Manager position in early 2014 via an employee referral. The recruiter contacted me within in a week. After the initial phone screen, they set up a video interview with 4 team members. The video interview went smoothly. Interviewers mainly asked about my experience in advertising and client services; there were no curveball questions. After the video interview, the recruiter wouldn't return phone calls or emails from me so I assume the role was given to someone else.",Neutral Experience,Average Interview,Facebook
 You might be asked on how much you expect for compensation (by the recruiter). The coding question was alright. It was to compare two general trees and making sure they have the same elements.   ,No Offer,,Neutral Experience,Average Interview,Facebook
 How would you address the issue of fake accounts on facebook ? What ideas would you implement to address the issue ? What ideas would you implement to identify fake accounts ?   ,No Offer,,Neutral Experience,Average Interview,Facebook
 Nothing surprising but you need to get prepared to show your thinking processes   ,No Offer,Screening + 2 Phone interviews + On-site,,,Facebook
,Accepted Offer,,Positive Experience,Difficult Interview,Facebook
 A lot of SQL questions. General knowledge about how you would handle large amounts of data.   ,Accepted Offer,,Difficult Interview,,Facebook
,No Offer,"Great interview process, recruiters and interviewers. The recruiter does a prep session with you beforehand that is very handy. They basically want to ensure a candidate does his best. I didn't do well on the interviews, but this is entirely my fault (FB did a great job to help me prepare). I connected with a recruiter through linkedin, i had a phone screen with a recruiter and then was brought in for 1st round of onsite interview - 2 interviews (one on Product and one on Execution) in the Seattle office. I wasn't called back for the second round.",Positive Experience,Average Interview,Facebook
 How objects can send messages to each other in Objective-C   ,No Offer,Phone interview,Neutral Experience,Average Interview,Facebook
" asked whether I need a sponsorship at last, and was rejected because I do need sponsorship.   ",No Offer,"first round from HR, normal questions",,,Facebook
" Given a list of strings, return a list of lists, where each list consists of words that are anagrams."" Example: Given [""cab"", ""cz"", ""abc"", ""bca"", ""zc""] the output should be: [ [ ""abc"", ""bca"", ""cab""] , [ ""zc"", cz""]].   ",Accepted Offer,On campus interview,Positive Experience,Average Interview,Facebook
,Accepted Offer,"I've submitted my resume during one of the career fairs, and my recruiter emailed me back within a month. I had two interviews at school on two different days, and the decision was emailed back to me within a week. From then on, I was connected with a recruiter, who scheduled my flight and asked about my preferences...",,,Facebook
 Very specific Excel questions as to how I wrote/used a function (Vlookup)   ,No Offer,,Negative Experience,Difficult Interview,Facebook
" I signed an NDA so I'm not sure that I am allowed to talk about it. Mostly fairly general questions, e.g. data structures, algorithms. Sometimes there's an emphasis on large data.   ",No Offer,,Negative Experience,Average Interview,Facebook
" It was all a blur to me now. I don't think there was anything too difficult in particular, but lots of talking and have to focus since all interviews were back-to-back.   ",Declined Offer,,Positive Experience,Average Interview,Facebook
 Regular expression and strStr. I was not able to give KMP algorithm to strStr   ,No Offer,,Neutral Experience,Average Interview,Facebook
 The questions were pretty simple.   ,No Offer,Went onsite for the interview. I was asked regex matching. The recruiters were pretty nice. The interviewer was grim and did not give any reaction. I thought I did well but didn't get the job.,Positive Experience,Easy Interview,Facebook
,No Offer,,,,Facebook
" A recursive problem involving how many combinations you can make out of a set of numbers. Know your data structures, the problem used both hash tables and lists.   ",No Offer,"I was contacted by a recruiter in early 2014. I was set up with an engineer for a phone interview. The first few questions were about my resume, simple stuff about projects I've worked on and prior experience. Then I was asked two technical questions, one about recursion and one about trees. I fully solved and optimized the tree problem but struggled a bit with the recursive problem. Overall it wasn't too difficult but make sure you prepare well before going in!",Positive Experience,Difficult Interview,Facebook
 Two points are randomly placed on a line of length 1. What is the probability that the three segments created form a triangle?   ,No Offer,Applied online through my college recruiting and received notification from HR of a phone interview a few weeks later. Interview consisted up a few dice probability questions followed by a more difficult question on probability. The last question consisted of a few short programming questions. They say you can answer them in any language but they are ideally posed as SQL questions.,Neutral Experience,Difficult Interview,Facebook
 What is the difference between tcp and ip?   ,No Offer,"The first contact came through a recruiter. The following informational with the hiring manager was cordial and informative and there was a lot of good energy in the discussion. They flew me to Menlo Park for a set of interviews with five engineering managers and TPMs. The interviews were very vanilla, nothing out of the ordinary, except one particularly pedantic session with a TPM of networking that wanted to know everything about the 101 of tcp/ip, to the details of the IP packer format. After ten days of radio silence, I was brought in once more in the Seattle office for another four interviews. Again, very cordial environment, very smart interviewers, but nothing out of this world. Where things became downright unprofessional is that no one ever closed the loop with me. They simply ghosted me. After three weeks of no news and emails to the recruiter going unanswered, I figured no offer would be coming and moved on. Several months later another recruiter called me at my new job letting me know that they liked me in the interviews but ended up extending an offer to another more junior candidate, and that they would like to pitch me another position. The overall experience was decidedly negative. The whole candidate experience was left as an exercise for the reader and clearly someone dropped the ball in making sure I was not left in the dark.",Negative Experience,Easy Interview,Facebook
,No Offer,"Applied on line, get interview in two weeks. First round and second round are in the next week. No reply afterwards.",Average Interview,,Facebook
 Walk me through how you would design an app   ,No Offer,"I had three phone interviews, and then was flown out to Menlo park for three on-site interviews. Interviewers asked very detailed questions and often challenged you on your answers. Recruiters were prompt and the process moved quickly but I didn't get much background before the interviews. It was a difficult but positive interview process.",Positive Experience,Difficult Interview,Facebook
" I was asked the 3-sum problem. Basically, given an array of integers, find three that sum to a given value. Alternately, find all triplets that sum to the given value.   ",No Offer,,Positive Experience,Average Interview,Facebook
" How would you decide which ticket to work on first, 1) huge vendor whose campaign has already launched and is wondering why they didn't receive the results the anticipated or 2) small business who is unable to launch their campaign for a product that is two days away.   ",No Offer,The interview was pretty standard. The interviewer started off by asking for my understanding of the role and how my experience could relate. He went on to tell me more about the position in depth and the structure of the team. Also asked about my experience with excel/SQL and told me about the next steps in the interview process.,Average Interview,,Facebook
,No Offer,"started with an initial phone screen, followed by a phone interview consisting of behavioral questions, then an onsite with 5 1:1 interviews, each taking 20-30 minutes",Neutral Experience,Difficult Interview,Facebook
,Declined Offer,,Neutral Experience,Easy Interview,Facebook
 The questions were all pretty standard.   ,No Offer,The recruiting team is wonderful and are with you through the whole process. I got to the final round interviews (I had 4) and they decided to go with another candidate because the executive had a better connection with them.,Positive Experience,Average Interview,Facebook
 Favorite app and why   ,No Offer,"Facebook came to our school, got pre-selected for an interview. Interviewed on campus, did not get interview.",Neutral Experience,Average Interview,Facebook
" How would you multiply two strings: ""123 * ""45"", without any casting.   ",No Offer,"First round interview, 45 mins long",Positive Experience,Difficult Interview,Facebook
" All questions revolved around database ideas. The most difficult question I encountered had to do with certain rows in a DB table being bad and we wanted to filter them out. The interviewer asked how, at a high level, we could determine which rows were bad. Then he wanted to see it coded.   ",No Offer,"Met a recruiter at a college career fair. About 1 week later, I did the first of two technical phone interviews.",Difficult Interview,,Facebook
 Ordinary technical interview   ,No Offer,I was interview for a internship position. The interview was on-campus and was relatively easy.,Average Interview,,Facebook
 nda   ,Declined Offer,Cannot disclose since am under a non disclosure agreement. please focus on system design questions and managerial assessment questions. There will be a technical round but its not difficult for experienced engineering managers.,Neutral Experience,Easy Interview,Facebook
 I was asked to imagine a problem I see in the product of my choice   ,No Offer,"I went to a career fair, and drop my resume at the Facebook's Booth, I received an email from the recruiter saying that my CV was a good one. The email, gave me the steps I would have need to go through to the following day it was actually a small preparation from Facebook before the actual interview.",Positive Experience,Average Interview,Facebook
 Difference between == and === javascript   ,No Offer,"Recruiter asked specific javascript trivia questions on first phone call, which I was not prepared for.",Positive Experience,Difficult Interview,Facebook
"Questions about my favorite campaigns on Facebook started in the phone screen, which caught me off guard. I was expecting that later in the process - don't underestimate your recruiter. Overall, questions were mostly based on my background/experience & passions - they didn't throw in any of those awful brain teasers or analytical questions. I greatly appreciate that, because I find them annoying and worthless! Facebook is smart enough to",Accepted Offer,"They're helpful, respectful and incredibly organized. They're there to help you succeed and will do what it takes to get you in the door if you're the right fit.",Positive Experience,Average Interview,Facebook
,No Offer,"A 45 minutes phone interview as expected. They asked several questions about the background. Talk something about yourself, your project, your interests. And then moved forward to the code interview on Collabedit. The question is the simple 3 sum and pow(). At the end, they asked whether you have some questions about facebook.",Easy Interview,,Facebook
 The questions are mostly about designing data structure and sorting algorithm.   ,No Offer,"I got the interview by applying at campus career fair. Got an on campus interview very soon after and then a phone interview, which I did not pass. The on campus interview was more about coding skills and your interest, while the phone interview contains more about personality test.",Neutral Experience,Average Interview,Facebook
 Examples of past Business Development   ,Declined Offer,,Positive Experience,Average Interview,Facebook
 Compensation amount   ,Declined Offer,"Good interview process. I think that the overall feel was professional, courtios and a very good conversation about the marketplace and about my qualifications overall. I would recommend to friends and peers.",Positive Experience,Average Interview,Facebook
 Nothing as such - was expecting something !!   ,No Offer,,Neutral Experience,Average Interview,Facebook
,No Offer,"Spoke with a recruiter on the phone and a peer before being flown to San Fran to meet with team. The recruiter was not informed about the role or the department, she literally read the job description word for word. I met with the hiring manager first in the first 15 mins she told me they were going to promote the peer to role. I continued the interviews with other interviewers. So essentially they flew me out there for nothing. It was nice to meet the group but could saved me the time and told me over the phone.",Negative Experience,Average Interview,Facebook
 Trees and streams   ,Accepted Offer,"I went to the career fair at my school and talked to Facebook, submitted my resume. They got back to me after around 2 weeks inviting me for an on-campus interview. The interview went well, they just wanted to know how you approach the problem. I think I've made a bunch of small ""brain-not-working-in-interviews"" mistakes but the interviewer was very nice. The second day they invited me to an onsite at Menlo Park.",,,Facebook
 Identifying fake profiles - how would you go about that?   ,No Offer,"I was contacted to set up two phone interviews on two separate days. The questions were slightly generic questions pertaining to work environment, personality, and past job performances. All in all, my interviews were very relaxed; I talked with two current Facebook employees, not the hiring manager, so don't be alarmed in that sense!",Positive Experience,Average Interview,Facebook
 What do you expect from your manager?   ,No Offer,"I emailed my resume to a Facebook employee who then forwarded my resume to a recruiter. I received an email from Marc in less than 2 days. Marc is a recruiter for admin jobs at FB. He is very professional, kind, very helpful and he was such a pleasure to speak with. We set up a telephone interview in less than a week. Telephone interview was great. Just going over your background, skills and a few typical interview questions. After going over resume/skills etc. I was then told he was going to forward my resume as well as his notes to a hiring manager. Then they go through all the applicants and then decide from there. I was a little nervous so I don't think I did as well. Probably why he suggested I start as a contract worker and eventually converting. (LOL) Anyway, I love that he was straight forward and to the point. Marc explained there were typically 2 rounds of interviews after the phone interview. Sometimes just 1 but it all depends on the team. After the phone interview a hiring manger will contact me for a 2nd interview within a week or two and then see if I go on to the next round where I have an interview with at least two team members. I had a great experience. Even if I don't get another interview, Marc was awesome and glad I was able to connect with him.",Positive Experience,Average Interview,Facebook
 What projects did you work on?   ,No Offer,,,,Facebook
 Tell me one thing you'd want to improve about Facebook's online marketing capabilities   ,No Offer,"1 interview with recruiter, 1 interview with hiring manager",Neutral Experience,Difficult Interview,Facebook
" None. The question was asking given a string and a mapping of a character to another set of characters, print all the possible combinations of chars.   ",No Offer,"Met a recruiter at a career fair. Super nice, and seemed to get really interested once I mentioned that I wanted to do work relating to infrastructure. I got an on-campus interview after that, which was very straightforward. Mostly talked about projects, and the one technical question I got was basically just implementing a DFS. Thought I did well in the interview, but my recruiter never got back to me.",Easy Interview,,Facebook
" given a list of strings, return a list of lists of all the anagrams   ",No Offer,"Phone interview, guy was really nice and wasn't personally familiar with the language I was coding in (which was fine)",,,Facebook
" A scenario where a project didn&#039;t go according to initial plan, and what you did overcome that change/roadblock.   ",Accepted Offer,"There are several interviews that one has to go through in order to be considered. After passing the recruiter screen, I went through a phone screen where I had a discussion with the hiring manager, who would gauge my fit for the team/company. Once passed, I went on to a full interview where several members of the team would interview me from different perspectives, technical depth, continued cultural fit, and basic PM skillset",Positive Experience,Difficult Interview,Facebook
" How will you manager 100,000 accounts with 10 people   ",No Offer,"Got referred by a friend and was asked for a phone interview within a week. It moved very quick, the HR provided me with a list of links and questions that I should be prepared for.",Positive Experience,Difficult Interview,Facebook
 What would be your research strategy to solve a problem that is important to Facebook.   ,No Offer,,,,Facebook
" If you were at Facebook, what would you build?   ",Accepted Offer,,Positive Experience,Difficult Interview,Facebook
"The technical question itself wasn't hard. I thought I did okay but I have no idea what the interviewer was thinking or even saw what I was doing since he was on his phone the whole time. Overall, not as hard as I excepted but the whole thing just felt very unprofessional. It seemed like he already made up his mind about me after the first 10 minutes then moved",No Offer,"Contacted through recruiter, on campus interview 45 minutes.",Negative Experience,Average Interview,Facebook
"I had one question for each interview and both were probability puzzles. Here is the tougher one: you have a bag of N strings, and at random, you pull out a end. You pull out another end and you tie the two ends together. You take another two string ends and tie them together. You repeat this until there are no loose ends left to pull out of the bag.",Accepted Offer,,,,Facebook
,No Offer,,Neutral Experience,Difficult Interview,Facebook
,No Offer,"I applied online for the front end developer position and heard back the next day from a recruiter. We chatted over phone and she was very interested in my skills, so she gave me a coding challenge to complete. I was given an image, and asked to recreate the image in HTML/CSS/javascript with the functionality specified in an accompanying document. I finished it the same day it was given and gave them the code. Two days later the developers had reviewed my solution and asked to set up a Skype interview. It was an hour long interview where he asked about my experiences and we coded together online. They were two javascript coding puzzles (not exactly a clear representation of front end development skills). I got both of the puzzles working, but the next day they said they would not be moving forward with me.",Neutral Experience,Average Interview,Facebook
 What would you do if your boss asked you to do something out of the ordinary?   ,No Offer,"Applied online in August 2013 through FB. I finally received an email in January, after an FB employee referral, from a recruiter. We scheduled a phone screen for the following week. I was a bit nervous as this was my first phone interview for a job I really wanted, and I'm sure she could tell. I have over 15 years of Administrative Assistant experience as well as a wide variety of other skills that would be extremely useful to FB. It would have been nice if the recruiter too a bit more time to get personal instead of straight to the point.",Neutral Experience,Average Interview,Facebook
 What would you do if Mark Z. asked you to investigate whether we should switch from low-res images to hi-res images for the whole app?   ,No Offer,,,,Facebook
 Describe something in your career that was a complete failure.... what did you learn from it.   ,Accepted Offer,"I was hired when we were a start-up. Have been interviewing for years though with new candidates. Process is normal: Phone Screen with HR, than a principle in the forthcoming loop. If the candidate does well in those they get a full interview. 5-7 people interviewing for Technical, problem solving, organization, creativity and culture fit. If that passes a candidate may get 1 or 2 more interviews for clarity on final concerns. than an offer. Process takes about 3 weeks unless there is serious competition for the position than more....",Positive Experience,Average Interview,Facebook
"As for the interview itself, I was asked several general questions about my projects (nothing too special, really). The coding question is a standard regular expression matching one which you can find on LeetCode. Since I'm still doing my Master program, I haven't yet reached that far on LeetCode. I did solve the question in the end after the interviewer gave me some hint...But I don't think I did a",No Offer,,Neutral Experience,Average Interview,Facebook
 The phone interview was kind hard and none of them appeared one leetcode etc. But do not stress out since engineers are friendly and helpful.   ,Accepted Offer,"Reached out recruiter on campus career fair. Got campus interview and later on-site interview. Since I had another pending offer deadline before the on-site interview date, they rescheduled the on-site interview via phone (which is a pity). The on campus interview (45min) only had one question on whiteboard I made it smoothly. The phone interview, however had two questions in 45min. I spent 30 mins on the first one and didn't finished the second question, but the interviewer was super nice! He gave me some hints on the second one and discussed with me about the question when I knew I already ran out of time. He even answered my question patiently. I had a pending offer deadline and requested a quick feedback, and two days later I got the offer! That was awesome since I didn't expect to get it at first.",Positive Experience,Difficult Interview,Facebook
 I was to asked to code a function that computes the product of two numbers in string form and outputs the result in the string form.   ,Accepted Offer,I applied to Facebook at Career Fair in my university. They contacted me for on-campus interview about a week or two later.,Positive Experience,Average Interview,Facebook
" Critique and existing app, describe what they do well and what they don't.   ",Accepted Offer,"The process is usually starts with a portfolio review. I did this when Facebook visited my campus and I got an interview slot with them. They sat with me in a room and went through my online portfolio. I showed mostly work that I did from a previous internships, which they seemed to like because it was very applicable to facebook. Then after the interview, I had a phone interview where they asked me to critique an existing app. I talked about things I would change, things I would tweak, what worked well what didnt, etc.",Positive Experience,Average Interview,Facebook
 Regex matching function   ,No Offer,"They asked me to code on Collabedit. The first question was finding the largest drop in a an array. The second question was implementing a regex matching function. My interview was not bad, but overall, I am not pleased with the hiring process in Facebook. The interviewer was ignorant in my expert field.",Negative Experience,Difficult Interview,Facebook
"One of the questions I got was around bit manipulation and built on itself by layers (i.e. how would you do x? ok, say you have a function for x, how would you do this new thing y?). The other question was a modification of a sorting question (i.e. the question itself was sort the array, but there were some parameters on the data type that made things extra fun/not",Declined Offer,,Positive Experience,,Facebook
" Was asked to explain career progression and biggest accomplishment in each role. It was a good question, but ends up being a long answer. Hard to stay organized while explaining each role and each accomplishment.   ",No Offer,,,,Facebook
" Because the recruiters prepare you right before the interview, none of the questions are unexpected.   ",No Offer,"The hiring process was fast but included 5 interviews. The first three were phone conferences that lasted about 30 minutes. The last two were on site visits. The folks there were so helpful. The recruiter not only prepped me for the questions, but she also made sure that I knew what the other reviewers said about me.",Positive Experience,Difficult Interview,Facebook
 Various complex SQL joins.   ,No Offer,"Long, drawn out, and unorganized. Unprofessional HR associate who would not answer emails or phone calls. The entire process took over four months and was a complete waste of time. The reason cited for my not getting an offer was that I didn't have sufficient skill in R, a language that was not once referenced on my resume.",Negative Experience,Average Interview,Facebook
 system design   ,No Offer,very friendly hiring and interview. The recruiter settled for a telephone interview. I said my English was not good and they allowed me to change it into a face to face interview at the campus.and then I passed the telephone interview but failed the onsite.,Positive Experience,Average Interview,Facebook
 Give a set of objects and a function. Pass two objects to that function and it can tell you whether one object points to another one. Find one object that is pointed by all other objects.   ,No Offer,A on-campus interview lasting about 35 mins. The interviewer is a man with red nail and red hair. Just asked some background questions at first and then start asking the technique questions. It is not a difficult one.,Easy Interview,,Facebook
 Sort array and find similar elements with specific pattern   ,Accepted Offer,"Technical coding interview, phone screening, in person all day interviews, had to interview with 6 people, overall went well. Questions are medium difficulty, was asked mobile, backend, general problem solving questions",Positive Experience,Average Interview,Facebook
,No Offer,"Applied online, was surprised to hear back a few months later. I was asked about my projects and then asked a technical question that at the time, I had no idea how to solve. The interviewer was very nice and she helped me through it. I did not recieve an offer but only because I did not know what I was doing at the time and did not know how to solve technical problems.",Positive Experience,Average Interview,Facebook
 why do you want to work for facebook? experience relevant to work? tell me about a challenging project you've worked on   ,Accepted Offer,Phone interview followed by full loop of 4 in person interviews. First screen talked about the role and your resume. Onsite interviews were different types focusing on different things. Ninja/Jedi/Pirate.,Positive Experience,Difficult Interview,Facebook
 What platform does Facebook use?   ,No Offer,"Scored the interview through a contact on a LinkedIn Alumni Group. I first had a phone screening. I went through my contacts to connect me with someone that worked at Facebook to ask for questions they might ask. They told me to make sure to take about their metrics. The person that scored me the interview told me that it wasn't needed. However when I got to the actual interview it was asked. I was then called for an in-person interview. I met with three different people who were going to be instructors for the sourcing bootcamp. Two of them were very approachable and friendly. The third person was very intimidating and asked very hard questions. It is better to over prepare! They said that it would take a week to hear about but they didn't, so it took a long time to figure out that I did not get the offer.",Positive Experience,Difficult Interview,Facebook
 Why Facebook?   ,No Offer,"Applied online, heard back within 2 weeks. Got a generic email asking me to fill out a form with further information. Loaded up my resume and filled out the form for all the positions I was interested in. The system really botched my resume and loading up the information automatically. Got an email back with a rejection.",Neutral Experience,Average Interview,Facebook
" Of the questions I understood, none were too hard. It was less about what you were interviewing for and more about what I've done previously.   ",No Offer,,Negative Experience,Difficult Interview,Facebook
 Does it rain in Seattle?   ,No Offer,"They contacted me out of the blue with a position that they felt was a good fit for me. Then they set me up with a tech interview over the phone. The tech guy was late, and on a noisy phone and didn't really sound motivated... My HR contact called me the next day and told me they had found a better match... Then he called me a week later and told me they had found a better match ;)",Negative Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Average Interview,Facebook
 The question was about writing some functionalities of regular expression   ,No Offer,"I turned in my resume during college job fair, and were given a chance to interview on campus.",Positive Experience,Average Interview,Facebook
,No Offer,"HR screening, hiring manager interview, multiple interviews (about 6 or 7) with other stake holders, a presentation in front of 8 or so folks. Everyone I met was great and very engaged. But the decision making took months as there felt like a lot of machination going on.",Positive Experience,Average Interview,Facebook
 compute the square root of x   ,No Offer,,,,Facebook
,No Offer,,Negative Experience,Easy Interview,Facebook
 something related to my resume. like how this project works   ,No Offer,campus recruiting and campus interview. I submit my resume in career fair and get notification of interview on the next day. The interviewer first asked me some questions on my resume and then asked me a technical question,Negative Experience,Average Interview,Facebook
,No Offer,"After I talked through phone with recruiter, I got interview for coding question. The coding question is easy, just use recursion to solve it. But time is quite tight, I could not finish the code in time as I talked too much with the interviewers.",Neutral Experience,Easy Interview,Facebook
,Accepted Offer,The whole process took around 6 weeks. I did my first phone screen in beginning of January and had my onsite in February. Involved algorithm and design problems. Not too hard.,Positive Experience,Difficult Interview,Facebook
" Again, I can't talk about the specific question, but after I wrote up a simple algorithm, the interviewer asked me for a more efficient solution. I really struggled with that.   ",No Offer,"Facebook reached out to me via... a facebook message. I wasn't actively looking, but decided to go through the interview process because why not? Maybe they could offer me something my current employer couldn't. The interview process started with two phone interviews. The first was just information and some fact checking. The second was a bit more technical and I had to show the ability to code and answer statistical questions online as one (or more) people watched me type. Then they flew me out for a day/night and I went through 5 interviews in a row (30 minutes each). Facebook has a beautiful Menlo Park campus. Throughout the interviews, only one simple bayesian stats question was asked. Everything else was business questions and computer science questions. I think my training is much more stats/machine learning oriented, so I struggled with a few questions. I signed a NDA, so I can't disclose the exact questions. They asked me on optimal algorithms, standard SQL coding, and business problems. It was very interesting and they did a good job letting me work through things on my own. I think they were looking for someone with more computer science/programming experience than I had.",Positive Experience,Difficult Interview,Facebook
 Tell me your plan of action if you saw that photo uploads suddenly dropped by 50%   ,No Offer,"Phone interview first, basic standard questions with some twists. Brought me in for a 3 hour interview process with 4-5 people. Office is awesome",,,Facebook
" None, really. It went smooth   ",Accepted Offer,,Positive Experience,Average Interview,Facebook
 O(n) time O(1) space to print link list reversely.   ,Accepted Offer,"The guy is cool and nice. When I ask for a little clue, he said thanks for asking and the clue really help me out with the solution.",,,Facebook
 They asked how I'd scale a web app I'd previously developed in my spare time up to Facebook scale.   ,No Offer,,Negative Experience,Difficult Interview,Facebook
 i didn't have any difficult questions. but i didn't get an offer.   ,No Offer,,,,Facebook
 All questions were challenging!   ,Declined Offer,,,,Facebook
" Be prepared to be quizzed in your field of interest. They seem to have this thing about making sure that you understand or know about certain things in your field. In several cases, the questions were obviously relevant to the position, but in several others they were not. My advice is to prepare well in advance for an interview at Facebook.   ",No Offer,"I applied for the position online. I was contacted about 2 months later by the recruiter. Initial phone interview with recruiter, then phone interview with hiring group person. Went to Menlo Park shortly thereafter for in-person interviews. Interviews consisted of talking with 5 people in 45 minute sessions each, back to back. On the one hand, the interviewers prepared well, almost all of them coming in with a pre-prepared list of questions. On the other hand, some of the questions came off as if they had not looked at my resume at all. I think I handled the questions pretty well as I had done a lot of homework before I went. They had given me a list of the people I was going to talk with in advance, and I researched each one of those people and had their backgrounds, former employers, where they went to college, etc. etc. memorized going in. That research also allowed me to think ahead of time about how I wanted to ""message"" each person I was meeting with. My biggest complaint about the interview process was that I was allowed almost no time to ask detailed questions about what they were really looking for in a candidate or what the job is really like. Yes, I did get the polite ""do you have any questions for me?"" , but usually that came when the next interviewer was waiting outside the door, so it was hard to get any useful information in this regard.",Positive Experience,Difficult Interview,Facebook
,No Offer,"Started with an internal HR phone screen after I submitted my cv on Facebook's career website. Then typical 2 tech phone screens before I was taken to the Facebook HQ. Interviewers and HRs were all very nice, smart and passionate. I felt I had done not too bad on the on-site interview, even though I did need quite help from the interviewers and the code on the whiteboard was definitely not beautiful. The feedback turned out that I wasn't so good to get into the UI/UX team. One week after the on-site interview, I was arranged for another interview over the phone with a different team, but it's totally not my area, so it's not surprising it got busted. Generally very good experience, very nice and helpful HR people and excited to be able to visit Facebook campus.",Positive Experience,Average Interview,Facebook
" On site interview, they ask me regular expression match (check leetcode) and search for range (like, 1,2 3, 7,7,7, 9, 9, return how many 7's in the array) and also knowledge about the garbage collection, linked list, reverse linked list.   ",No Offer,"Phone interview and then on site. In the phone interview, they ask me to solve the 3 sum problem (check leetcode) and the bucket anagram problem. In the on site interview, 3 interviewers ask me three algorithm problems and also the behavior problems. Then there's a brief tour to the campus.",Positive Experience,Difficult Interview,Facebook
 Overall Facebook's interview questions are interesting and not hard. All the interviewers are knowledgable and nice to talk to.   ,No Offer,,Positive Experience,Average Interview,Facebook
 Given a node from a DOM tree find the node in the same position from an identical DOM tree.   ,No Offer,,Positive Experience,Average Interview,Facebook
" Describe how the website works. (That's the whole question, with no context.)   ",No Offer,,Positive Experience,Average Interview,Facebook
 Explain the algorithm on white board.   ,Accepted Offer,,Positive Experience,Difficult Interview,Facebook
 where do you live?   ,Accepted Offer,How would you create a program that can generate more revenue from a specific segment of client (you get to pick the client)? How would you measure the ROI of the program? How do you work with analysts?,Neutral Experience,Easy Interview,Facebook
 Basic question on hashmaps and arrays.   ,No Offer,,,,Facebook
 JavaScript   ,Accepted Offer,,Positive Experience,Average Interview,Facebook
