question,offer,target_variable,difficulty,interview,source,length,text
,No Offer,0,Easy Interview,"I applied on Bytedance platform.I received an email to set up a date for phone interview.I replied and after this I didn’t get an answer till Friday at 10:00 pm . I accept the phone interview for Saturday.It was quite confusing as the person who done my phone interview was very bored and negative about this role.Anyway I get on face to face interview there was a really nice guy very professional and the interview was really nice.I’ve been told that the job offer relay on the person got me the interview on the phone.Well,I didn’t get the offer of course but I get an email saying that she is happy to give more feedback regarding the interview next week.I replied that I would appreciate but never get back to me.Funny right?",Tiktok,730,applied bytedance platform received email set date replied get answer till friday pm accept saturday quite confusing person done bored negative role anyway get face face really nice guy professional really nice told job offer relay person got well get offer course get email saying happy give feedback regarding next week replied would appreciate never get back funny right
 What platforms would you integrate with TikTok?   ,No Offer,0,Average Interview,"After my interview process with them, I will think 10x before starting any process with a Chinese company. I had such a horrible perception and felt them a pretty abusive company. Several interviews, made me available for many hours during months and they didn't even have the dignity to provide any feedback, neither a templated message or reply to my e-mail. Their standards are poor. Avoid also their stupid external recruiters.",Tiktok,431,think starting chinese company horrible perception felt pretty abusive company several made available many hour month even dignity provide feedback neither templated message reply mail standard poor avoid also stupid external
,No Offer,0,Average Interview,"its took me 4-5 interviews in two months and till now they didn't give me any feedback, every HR was asking me the same questions with a different way, the last interview last for almost 45mins and I have been asked about all my skills and what to do in this and that. some question was a little bit racist and not professional.most of the questions were related to HR positions and what you will do to fire someone.",Tiktok,416,took two month till give feedback every hr asking different way last last almost min asked skill little bit racist not professional related hr position fire someone
 What is your understanding of the role   ,No Offer,0,Average Interview,I interviewed with an HR person first and then with the Head of Partnerships after. The interview was overall easy and relaxed. the HR person described the position a bit more and then asked some common questions; he was really nice but was speaking very fast and gave me the impression he was not really listening to me. I was then assigned a case study to deliver within 5 days which was a really market-specific question and made me think that they really want to collect as many ideas as possible from candidates instead of testing how they think/organise a project. The case study was then to be discussed with two employees video calling from China.,Tiktok,655,interviewed hr person first head partnership overall easy relaxed hr person described position bit asked common really nice speaking fast gave impression not really listening assigned case study deliver within day really market specific made think really want collect many idea possible candidate instead testing think organise project case study discussed two employee video calling china
 Why Tiktok?   ,Accepted Offer,1,Easy Interview,Good. Interviewer was open and friendly. Very easy to talk too and interview was more of a conversation than a Q&A style interview. Everyone greeted me upon arriving and was super friendly.,Tiktok,189,good open friendly easy talk conversation style everyone greeted upon arriving super friendly
,Accepted Offer,1,Average Interview,"Insgesamt gab es drei Telefonate/ Videointerviews. Bei allen waren die jeweiligen Gesprächspartner sehr nett, geduldig und haben die Situation so angenehm wie möglich gemacht. Auch kam Feedback sehr schnell und von Seiten des Recruitingteams hat man innerhalb von 30 min immer eine Antwort auf alle Fragen bekommen. Einfach eine rundum positive Erfahrung.",Tiktok,355,insgesamt gab drei telefonate videointerviews bei allen waren die jeweiligen gespr chspartner sehr nett geduldig und haben die situation angenehm wie glich gemacht auch kam feedback sehr schnell und von seiten de recruitingteams hat man innerhalb von min immer eine antwort auf alle fragen bekommen einfach eine rundum positive erfahrung
 Descrivi una situazione durante la quale hai dovuto risolvere dei problemi.   ,No Offer,0,Average Interview,Sono stato contattato via email per fissare un colloquio telefonico. In seguito a questo ho partecipato a un colloquio di gruppo e poi a un video colloquio. Non ho più saputo nulla per circa un mese. Ho dovuto contattare io i recruiter per sentirmi dire che avevano già assunto qualcun altro e che la mia application era on-hold e che per il momento non stavano più assumendo altre persone nel team. Ho chiesto un feedback ma non mi è stato dato.,Tiktok,446,sono stato contattato via email per fissare un colloquio telefonico seguito questo ho partecipato un colloquio di gruppo poi un video colloquio non ho pi saputo nulla per circa un mese ho dovuto contattare io per sentirmi dire che avevano gi assunto qualcun altro che la mia application era hold che per il momento non stavano pi assumendo altre persone nel team ho chiesto un feedback non mi stato dato
 Very specific examples of active global challenges and how you would choose to solve them.   ,No Offer,1,Difficult Interview,"Recruiter handles the initial emails and sets up video calls for each round. There were three rounds of interviews: 1. with hiring manager and two with potential colleagues. Some of the questions were the same, some were slightly different in each round.",ByteDance,254,handle initial email set video call three hiring manager two potential colleague slightly different
,Accepted Offer,1,Easy Interview,"It is better if you can apply through a referral code. the waiting time is pretty short, typically you can hear back within a week after you did the interview.",ByteDance,159,better apply referral code waiting time pretty short typically hear back within week
 Find maxPath in a Directed graph.   ,No Offer,0,Average Interview,"I applied online and was invited to a online video interview. It started off well but after the interviewer explained the problem. My immediate response is to ask the edge cases. Which he shot me down and said 'assume everything is working as expected'. I mean, if we are assuming everything is working as expected then why write code for the problem anyway. Still, I moved forward to explain the approach, which he was not ready to listen and asked me to code. When i started coding, he stopped me frequently to ask questions which is good as he was having a good conversation. But sometimes he would stop me and say dont code it 'this' way code it in another way. Overall, the question was good, find the maxPath in a tree. I did complete the code and it was working (he ran it in the coderpad with some test cases), yet, I got a reject in few days.",ByteDance,851,applied online invited online video started well explained problem immediate response edge case shot said assume everything working expected mean assuming everything working expected write code problem anyway still moved forward explain approach not ready listen asked code started coding stopped frequently good good conversation sometimes would stop say dont code way code another way overall good find maxpath tree complete code working ran coderpad test case yet got reject day
 Reverse pairs on LeetCode (difficulty: hard)   ,No Offer,0,Difficult Interview,Two coding interviews as the first two rounds. The first round is a LeetCode medium level problem involved with Breadth First Search. The second problem is a hard level LeetCode problem involved with binary search tree or merge sort.,ByteDance,233,two coding first two first leetcode medium level problem involved breadth first search second problem hard level leetcode problem involved binary search tree merge sort
 Tell me about a project you've done.   ,No Offer,0,Average Interview,Applied online. Pretty smooth resume parsing system on the application portal. I received an online interview invitation 9 days after I submitted my resume. The interviewer is a rather technical person. Did not show his face even if it says it's a VIDEO interview. I was basically talking with a blank screen. I cannot even tell his emotions in his monotone. The interviewer is pretty skeptical about everything I said.,ByteDance,419,applied online pretty smooth resume parsing system application portal received online invitation day submitted resume rather technical person not show face even say video basically talking blank screen cannot even tell emotion monotone pretty skeptical everything said
,Accepted Offer,1,Average Interview,"first round is HR phone call, second and third round is team member video interview, then hr will arrange a time with hr partner to go through your status and email the offer",ByteDance,174,first hr call second third team member video hr arrange time hr partner go status email offer
 Describe a challenge you faced in the past.   ,No Offer,0,Average Interview,"The interviewer asked about a challenge I faced in the past. I described one of the projects I worked on, the problem, and how I solved it. The interviewer told me that my example is not detailed enough and that I didn't actually implement it ( implied that I made it up).",ByteDance,272,asked challenge faced past described project worked problem solved told example not detailed enough actually implement implied made
 What's YoLo V3?   ,No Offer,0,Difficult Interview,Submitted resume through a friend on LInkedIn. Then I got a Phone interview 1 month later. The interviewer asked a lot of basic questions on Deep Learning. Didn't get the offer.,ByteDance,177,submitted resume friend linkedin got month later asked lot basic deep learning get offer
" Pretty average questions, including ones like “What made you apply for this position?”   ",Accepted Offer,1,Average Interview,"The process took a while to get through, but it was worth it! I enjoyed speaking with every person I interviewed with an they were pretty flexible with scheduling. I met with three people on the team I will be working with on three separate occasions over a Zoom interview.",ByteDance,273,took get worth enjoyed speaking every person interviewed pretty flexible scheduling met three people team working three separate occasion zoom
 BFS problem.   ,No Offer,1,Difficult Interview,"First, you will go through your experiences and projects you have done. Then they will ask you one coding problem and some general ML algorithm problems. Finally, you can ask some questions and they will talk about the company.",ByteDance,227,first go experience project done coding problem general ml algorithm problem finally talk company
,No Offer,0,Average Interview,"I applied online, a recruiter from Bytedance contacted me a few days later to ask if I would like to interview. I had one video conference interview and received no further communication from the recruiter after that. The interviewer was clearly uninterested in conducting the interview from the start. He picked his nose throughout most of the interview and looked around the room a lot rather than looking at me. While I was answering his questions, he repeatedly interrupted to tell me that what I was explaining is not what he is looking for, and then he reframed the question to be more specific. He asked broad questions, but was actually looking for specific experience. He should have asked more specific questions to get the information he wanted. He appeared unprepared to conduct the interview. The interviewer was a director of engineering, which was an odd choice for a first phone interview for product management. Typically at most companies, engineering would become involved only during the final round of interviews, and the initial interviews would be conducted by product management. I left with a negative impression of how this company treats people. They should be putting their best foot forward with potential candidates. If this is how they treat candidates, they way they treat their employees is likely worse and Bytedance is not a place I would like to work.",ByteDance,1387,applied online bytedance contacted day later would like video conference received communication clearly uninterested conducting start picked nose throughout looked around room lot rather looking answering repeatedly interrupted tell explaining not looking reframed specific asked broad actually looking specific experience asked specific get information wanted appeared unprepared conduct director engineering odd choice first product management typically company engineering would become involved final initial would conducted product management left negative impression company treat people putting best foot forward potential candidate treat candidate way treat employee likely worse bytedance not place would like work
 Behavioral and Technical Questions.   ,No Offer,1,Easy Interview,"Applied through Linkedln, had a Zoom interview after a week or two with a Senior IT Engineer. They told me I am a great candidate but they don't have any headcounts to hire new people.",ByteDance,184,applied linkedln zoom week two senior engineer told great candidate headcount hire new people
 data structure algorithms   ,No Offer,0,Average Interview,"The interviewer are friendly. However, they would not return any feedback to you, Even you have a nice chat with them, they won't tell you, you are rejected by them. Move on next one",ByteDance,182,friendly however would not return feedback even nice chat tell rejected move next
 Why are you interested in ByteDance/TikTok?   ,No Offer,0,,"Applied online and HR reached out a few weeks later. Had an introductory phone interview with the recruiter, who was fantastic and great to speak with. However, the next day, I was sent a writing test with a deadline of 1 business day (sent mid morning and due next day EOD). Typically, businesses give more than one business day to complete and give you advance notice. Had I known to expect a writing test (which take time, effort, and research), I would have shuffled my time around to make it work. The recruiting coordinator followed up at 6:10pm to ask where my test was (news alert- I was finishing the 3-4 page document because I had been working both business days and had a business event the night prior). I submitted the test shortly afterward and received a rejection email the next day. The job listing was still up a month later.",ByteDance,844,applied online hr reached week later introductory fantastic great speak however next day sent writing test deadline business day sent mid morning due next day eod typically business give business day complete give advance notice known expect writing test take time effort research would shuffled time around make work recruiting coordinator followed pm test news alert finishing page document working business day business event night prior submitted test shortly afterward received rejection email next day job listing still month later
 Memorize ajax signals   ,No Offer,0,Difficult Interview,"Introduce yourself. Have you ever token some CS courses(Excuse me)? Memorize ajax signals and write mergesort algorithm. It was very terrible experience since they ask me to memorize everything including js, HTML, CSS, Java, Python and Node.JS.",ByteDance,244,introduce ever token course excuse memorize ajax signal write mergesort algorithm terrible experience since memorize everything including html cs java python node
"After multiple questions around basic service desk questions e.g., What are the positives and negatives of ITIL? What are KPI's etc. I could tell when I first joined the video the facial expressions of the Manager already said to me he was no interested and then asked me if I spoke Chinese. I said no, was this mandatory? He replied in a snippet voice ..well yes, this is a Chinese",No Offer,0,Easy Interview,I was contacted by a recruiter that found my profile on LinkedIn. Per the recruiter HR and Managemt had reviewed my profile and thought I would be a good match for what they were looking for. So they setup a video interview with another Service Desk Manager.,ByteDance,258,contacted found profile linkedin per hr managemt reviewed profile thought would good match looking setup video another service desk manager
 medium to hard algorithm questions on leetcode and detailed discussion about your resume and past experience.   ,No Offer,1,Average Interview,"Two 45 minutes phone calls. Interviewers both come from the org that you are interviewing with. Both algorithm engineers I think. Know throughly about your past experience is important. Being prepared to talk about the model, process and algorithm you used.",ByteDance,257,two minute call come org interviewing algorithm engineer think know throughly past experience important prepared talk model algorithm used
 what's the difference between bagging and boosting?   ,No Offer,0,Difficult Interview,"2 PHONE interview 1 behavior question 1 tech leader interview. 40 multiple choice question and 3 coding questions. Go through the resume and ask the detail about it, including project, work experience, skills.",ByteDance,209,behavior tech leader multiple choice coding go resume detail including project work experience skill
,No Offer,0,Difficult Interview,Online Assessment: 3 coding problem with camera and screen sharing -> Technical interview 1: 1 coding and many basic knowledge from networking to database -> Technical interview 2: same as first round,ByteDance,200,online assessment coding problem camera screen sharing technical coding many basic knowledge networking database technical first
 Can you introduce yourself?   ,Accepted Offer,1,Average Interview,"The interviewer is very professional and the whole interview process is pretty quick. There are 3 stages in total. First one is the phone interview with HR, second round is interview with hiring manager, last round is onsite.",ByteDance,225,professional whole pretty quick stage total first hr second hiring manager last onsite
 dig into your projects   ,No Offer,0,Average Interview,"2-3 round of interview, first round of coding, second round of previous projects. But actually they are looking for specialist in speech composition/generation. If you are good at CV or NLP, even though they will give you interview opportunity, but they won't give you the offer. They only need the people who are working on speech, other candidates are just a backup.",ByteDance,368,first coding second previous project actually looking specialist speech composition generation good cv nlp even though give opportunity give offer need people working speech candidate backup
 Tell me about your current day to day   ,No Offer,0,Average Interview,"Had three rounds of interviews, after the last one I was told HR will follow up within one week. It’s been almost a month, followed up twice with hr myself and no response. Extremely unprofessional to take 3+ hours of candidates time to interview and then just disappear.",ByteDance,271,three last told hr follow within week almost month followed twice hr response extremely unprofessional take hour candidate time disappear
,No Offer,0,Average Interview,"A online recruiter contacted me and set up an technical conference call with an engineer, seems like a manager. The first question he asked me is if i want to relocate, and several BE questions followed with several technical questions.",ByteDance,236,online contacted set technical conference call engineer seems like manager first asked want relocate several followed several technical
 machine learning problems but not even in the domain of position I applied..   ,No Offer,0,Average Interview,"The interview process was six to seven rounds of 45min video interview. The funniest part is that they decide if you get into next round based on the feedback of your last interviewer, so you can easily get rejected once one of interview doesn't like you, compared to the group decision made by all interviews.",ByteDance,310,six seven min video funniest part decide get next based feedback last easily get rejected like compared group decision made
 How to increase user growth for adult users?   ,No Offer,0,Average Interview,"The interview took about 5 weeks. HR reached out one week after I applied and started to set interview schedule. The 1st interview was Zoom video interview with a team member and it was about 30 mins. The interviewer used cellphone for video interview, so the experience was a bit informal. The interviewer asked questions about background, experience, and knowledge in mobile video industry, and towards the end, the interviewer asked me to send presentation slides sample that I did for projects in the past to her. I received information about 2nd interview 1 week later. For the 2nd interview, it was a cross-department interview with the marketing manager and it was set on a Sunday night due to the busy schedule of the interviewer. I was flexible and agreed. However, an hour before the interview, the HR called twice to warn of a potential cancellation due to the fact that interviewer wasn't in office yet and then 1 minute before the original time of interview, the HR called again to confirm the reschedule which was to be held half an hour later. Eventually, the interview took place at the same night, but with half an hour delay. Also, it was supposed to be a Zoom video interview, but in the last minute, the interviewer changed to audio, attributing this change to the lack of Internet bandwidth on her side. During the interview, I heard considerable noises time to time, which was distracting. The interviewer asked a few questions about user growth, marketing, and my career aspiration. The whole interview took only about 20 mins. The overall experience was casual, rushed and unprofessional. Ten days later, I received rejection email from the HR with no explanation of reason.",ByteDance,1698,took week hr reached week applied started set schedule st zoom video team member min used cellphone video experience bit informal asked background experience knowledge mobile video industry towards end asked send presentation slide sample project past received information nd week later nd cross department marketing manager set sunday night due busy schedule flexible agreed however hour hr called twice warn potential cancellation due fact office yet minute original time hr called confirm reschedule held half hour later eventually took place night half hour delay also supposed zoom video last minute changed audio attributing change lack internet bandwidth side heard considerable noise time time distracting asked user growth marketing career aspiration whole took min overall experience casual rushed unprofessional ten day later received rejection email hr explanation reason
" Walk me through your background, why you're interested, etc. Typical interview questions and in person interviews were conversations and them trying to understand my experience and how it may relate to the position   ",No Offer,1,Average Interview,"I was reached out by the recruiter for a phone interview within 1 or 2 weeks from applying. Interview is pretty typical - she explained the overall company, the Los Angeles office culture/focus, spoke about the role then she asked me about my background and experience - normal conversation. A few days later, I was asking for an on site interview and met with the team. The interview consisted of meeting with 3 people individually so 30 minutes with each person. It was nice that it wasn't a scary panel for the interview - I much prefer one on ones. After the interview, the recruiter came back to the room to talk further then gave me an office tour. A few days later I received a decline e-mail, but still had a great experience from start to finish. Wish I got the offer.. seems like a great start up in la",ByteDance,812,reached within week applying pretty typical explained overall company los angeles office culture focus spoke role asked background experience normal conversation day later asking site met team consisted meeting people individually minute person nice scary panel much prefer came back room talk gave office tour day later received decline mail still great experience start finish wish got offer seems like great start la
 Why do you want to apply for our company   ,No Offer,0,Average Interview,"I applied online and they contact me the next day. Then, I had a phone interview with HR. After the phone interview, they set me up a video interview with the rest of the team. Last Friday, they called me and told me that I got the offer. But this Monday, they called me they could not give me the offer, they canceled the offer. It is ridiculous. I guess I'm the second option for them, and the first one takes the offer, so they cancel my offer. It is unprofessional and disrespectful. Very bad experience. Avoid if you can.",ByteDance,526,applied online contact next day hr set video rest team last friday called told got offer monday called could not give offer canceled offer ridiculous guess second option first take offer cancel offer unprofessional disrespectful bad experience avoid
 Past campaigns I had worked on   ,No Offer,0,Difficult Interview,"I was recruited, spoke to a recruiter on the phone that found me on LinkedIn, and then went through 2 rounds of interviews. The first was with an Account Director, the second was with the Managing Director.",ByteDance,206,recruited spoke found linkedin went first account director second managing director
"A business school, the acceptance rate is higher for boys than girls. In a law school, the acceptance rate is also higher for boys than girls. However, when the two schools are combined, the acceptance rate is also higher for girls than boys. Why? (This is a super common interview question. Almost everyone admitted into the team told me they got this question in the interview.)   ",Accepted Offer,1,Easy Interview,"I had 3 rounds, among them 2 rounds with product managers in the team I was recruited, 1 round with the HR. The interview is not too hard as long as you prepare for it.",ByteDance,168,among product manager team recruited hr not hard long prepare
 Which app you will recommend to your cousin?   ,No Offer,0,Average Interview,"Introduced experience from resume. Asked a few questions about open questions. Passed the technical interview, but don't know why I was rejected after HR interview. The HR may your background during the HR interview.",ByteDance,216,introduced experience resume asked open passed technical know rejected hr hr may background hr
 Why do you think you fit this role?   ,Accepted Offer,1,Average Interview,I was referred and had a couple of Skype interviews on my past experience. It was not too stressful. The HR did not ask any trick questions or trying to push me out of the comfort zone.,ByteDance,185,referred couple skype past experience not stressful hr not trick trying push comfort zone
 technical questions.   ,No Offer,1,Difficult Interview,"Got the inteview invitation in a bout 2-3 weeks after I applying it. The HR contacted me, setting an online interview time. She said the first round includes about 4 hours.",ByteDance,172,got inteview invitation bout week applying hr contacted setting online time said first includes hour
 What is your parent’s job is the States?   ,No Offer,0,Average Interview,"I got a phone interview with sales manager over the phone, he asked me some questions sort of sales strategy as in a tech company. Everything was going well, and he also invites me to meet with his director from China for following day. However, the interview with a director was unprofessional and disrespectful. The interview questions were out of job description.",ByteDance,366,got sale manager asked sort sale strategy tech company everything going well also invite meet director china following day however director unprofessional disrespectful job description
 What is the function of logistic regression?   ,No Offer,0,Easy Interview,"I know this is a very good company in China. While I go through the interview process, I feel so disappointed. First, I did an online test which is about some basic data analysis knowledge. Second, I had an interview with an employee of the company, the lady asked me some questions about machine learning models, she shocked me. She asked me logistic regression, what is the function of that? I said exp()/[1+exp()], the lady said, no, the right one should be 1/[1+exp()]. Excuse me? That is the same, just decide the upper and lower side by exp(). Then we talked about more advanced models, she asked me what is the function of the cross entropy or gini index? After I said my answer( I am pretty sure that I am correct), she said so you do not remember the function. Me:???!!!!",ByteDance,780,know good company china go feel disappointed first online test basic data analysis knowledge second employee company lady asked machine learning model shocked asked logistic regression function said exp exp lady said right exp excuse decide upper lower side exp talked advanced model asked function cross entropy gini index said answer pretty sure correct said not remember function
,No Offer,1,Difficult Interview,"The interview held through zoom and lasted 30min. It was divided into three parts and includes several questions about personality, internship experiences, and career paths. The interviewer is nice and patient without asking many judging questions. If you want to pass the interview, prepare more about the company profile and dig into yourself. It is important to find the linkness between company requirements and you strengths.",ByteDance,430,held zoom lasted min divided three part includes several personality internship experience career path nice patient without asking many judging want pas prepare company profile dig important find linkness company requirement strength
,No Offer,0,Average Interview,The most insincere interview ever. Interviewed by a Senior System Administrator which was to me just passing through the motion of having to talk to another candidate. The session was less than 10 minutes and i can sense the person was trying to get out of the interview process ASAP. I was told the HR will be joining in the Zoom interview but after waiting for 45 minutes i realized this is not the company i will work for. They have no respect of people's time and made no effort to reply to my emails.,ByteDance,505,insincere ever interviewed senior system administrator passing motion talk another candidate session le minute sense person trying get asap told hr joining zoom waiting minute realized not company work respect people time made effort reply email
,Accepted Offer,1,Average Interview,"The process was pretty smooth, takes approx. 4 weeks. I had 3 rounds of interview sessions; 2 rounds with users, last round with HRBP. All users were friendly and I fully respected them.",ByteDance,186,pretty smooth take approx week session user last hrbp user friendly fully respected
,No Offer,1,Average Interview,I have had first three rounds of interview (2 rounds of behavioral and business oriented interviews and 1 round of technical interview). It's quite relaxed. Not very selective. The interviewers are all very respectful.,ByteDance,218,first three behavioral business oriented technical quite relaxed not selective respectful
" Basics, Final year projects, Why Bytedance.   ",Accepted Offer,1,Easy Interview,1 round - video submission of any topic of chosen subject of atleast 10 minutes. Based on the video presentation and concept clarification they will consider you further process.,ByteDance,178,video submission topic chosen subject atleast minute based video presentation concept clarification consider
 Simpson's Paradox is a frequently asked questions   ,Accepted Offer,1,Average Interview,"Zoom interview, pretty efficient, takes less than 30 minutes, start with intro and ends with questions. Overall it's smooth and enjoyable, need some prep though. Also general questions on resume and some technical questions related with previous project/ general statistics",ByteDance,273,zoom pretty efficient take le minute start intro end overall smooth enjoyable need prep though also general resume technical related previous project general statistic
 How does java's garbage collection work?   ,Accepted Offer,1,Average Interview,"2 coding interviews, with 2 different software engineers, seemingly quite senior. They were quite chill but I guess I impressed them when I talked about my experience outside of coding. E.g, I play sports and and I am the captain of my sports team. Outside of coding, I am actively participating in hackathons and competitions. That brings you up more as a better candidate.",ByteDance,374,coding different software engineer seemingly quite senior quite chill guess impressed talked experience outside coding play sport captain sport team outside coding actively participating hackathons competition brings better candidate
 Whether I am familiar with local contents and has the experience to work with local content creators   ,Accepted Offer,0,Average Interview,"It was three back to back interviews. As it's in the middle of the pandemic, the interviews were conducted through video calls. There was a bit of miss-communication and technical difficulties at first regarding the interview process and schedule with the HR (they said they will contact me after the first interview session of whether or not I'm eligible for the next round of interviews but they didn't contact me after the first one and I was quite surprised when they told me that the next interviewer was already waiting for me), but in the end, it went just fine. They could explain the role quite well and wanted to make sure that I have the right expectation of the role.",ByteDance,679,three back back middle pandemic conducted video call bit miss communication technical difficulty first regarding schedule hr said contact first session whether not eligible next contact first quite surprised told next already waiting end went fine could explain role quite well wanted make sure right expectation role
 What was an experience where you encountered difficulty in data analysis? What was the difficulty and how did you resolve this?   ,No Offer,1,Average Interview,"30 Minute interview starting with a self introduction. Standard interview questions, with oppurtunities to ask questions back. Interests towards the gaming industry will be asked about, as well as past projects involving data analysis and ability to overcome problems.",ByteDance,268,minute starting self introduction standard oppurtunities back interest towards gaming industry asked well past project involving data analysis ability overcome problem
 Take me through a product you launched from start to end.   ,No Offer,0,Average Interview,"Internal recruiter reached out directly for phone call and arranged a vid call the next with PM. PM not transparent about team structure and what the role would working on exactly. This was for a Singapore role working on B2B product, interview was with China team PM. No worries with language barrier but when asked about the culture he basically said it’s 996 and if you’re not ok with that this isn’t the place for you. FYI Chinese product firms tend towards continually launching and see what sticks, mkt fit and validation usually come after.",ByteDance,547,internal reached directly call arranged vid call next pm pm not transparent team structure role would working exactly singapore role working product china team pm worry language barrier asked culture basically said not ok place fyi chinese product firm tend towards continually launching see stick mkt fit validation usually come
 Describe ArrayList and it's operations' time complexities in Java   ,No Offer,0,Average Interview,"Got called for an online interview. First round went fine, interviewer showed interest and enthusiasm into topics discussed. Only 1 coding question was asked during the second interview with no further discussions on the question or previous projects whatsoever. Got rejected 2 hrs after second round.",ByteDance,301,got called online first went fine showed interest enthusiasm topic discussed coding asked second discussion previous project whatsoever got rejected hr second
" Each interview consists of questions about your resume (past research projects/experience), general computer vision/machine learning questions (e.g. explain architectures of modern object detectors), then followed by 1-2 coding problems (LeetCode easy).   ",Accepted Offer,1,Easy Interview,"After CV screening, you got two round interviews and both are in a similar format: each of 45-60 mins. Be prepared for your CV and general computer vision knowledge. Interviewers are kind but will ask about all details of your previous projects.",ByteDance,245,cv screening got two similar format min prepared cv general computer vision knowledge kind detail previous project
 What do you think about this position?   ,Accepted Offer,1,Average Interview,It feel like a chatting with friend. So just be honest and show your real. That's all ! Interviewer will ask about your experience and ask you introduce yourself. And then they will ask what you would do in a team for project.,ByteDance,226,feel like chatting friend honest show real experience introduce would team project
 Understanding of competition and market   ,Accepted Offer,0,Average Interview,6+ rounds of conversations with stakeholders across US and China. Interviews ranged from senior leaders to individual contributors. Covering topics from previous work experience to forward looking ideas to market understanding and competition landscape.,ByteDance,253,conversation stakeholder across china ranged senior leader individual contributor covering topic previous work experience forward looking idea market understanding competition landscape
 Do you know so and so from this company that company?   ,No Offer,0,Average Interview,"Overall ghosting experience from the Recruiting team - email exchanges only without their phone contact details. They are merely interview date and time coordinators and do not answer any other questions about the role, the interviewers, etc. One of my rounds they set the call invite as tentative and never bother to firm it up even a day before, so I had to chase ...email only no calls...",ByteDance,391,overall ghosting experience recruiting team email exchange without contact detail merely date time coordinator not answer role etc set call invite tentative never bother firm even day chase email call
,No Offer,0,Average Interview,"These were 4 interviews in total with no feedback afterwards. The first was the most transparent - who and why would be interviewing me and there were the most work-related questions. The next 3 interviews went without any details neither for me, nor for the hiring managers. The recruiters have never returned to me with final feedback, which seems to me quite a low-brow approach for a company that big.",ByteDance,405,total feedback afterwards first transparent would interviewing work related next went without detail neither hiring manager never returned final feedback seems quite low brow approach company big
 Longest valid parenthesis substring   ,No Offer,0,Difficult Interview,Interviews started 10 min late. spent half of time discussing about my background. I had to solve a difficult question in 20 min.I .was able to solve it partially but missed the corner cases.,ByteDance,191,started min late spent half time discussing background solve difficult min able solve partially missed corner case
 Behavioral Questions based on resume   ,No Offer,0,Average Interview,"1 group interview, 1 round hr interview , and 1 round manager interview. They asked about my past experience, why I was interested in this position, and whether or not I accept frequent traveling",ByteDance,195,group hr manager asked past experience interested position whether not accept frequent traveling
,No Offer,0,Easy Interview,No information about the hiring manager or role. Was invited to move forward to an interview directly. The hiring manager gave feedback that I didn’t give her answers that she was looking for.,ByteDance,192,information hiring manager role invited move forward directly hiring manager gave feedback give answer looking
,No Offer,0,Easy Interview,"It was video call, short (about 20min). The interviewer didnt seem to be happy or just interested in what I wanna say, it was going from question to question. Without any human-feelings like smile or just good vibe.",ByteDance,215,video call short min didnt seem happy interested wanna say going without human feeling like smile good vibe
,Accepted Offer,1,Easy Interview,"The product that we are responsible for is an internal used platform for user generated contents' moderation purpose. There are 3 rounds of interview, the first is for our platform team leader, the second is for our senior team leader, and last one is for HR.",ByteDance,259,product responsible internal used platform user generated content moderation purpose first platform team leader second senior team leader last hr
 Why ByteDance   ,No Offer,0,Easy Interview,"An interview invite, a 30-minute chat that went pretty well, but then I was sent a rejection email. I'm not sure why, because I thought I had a good chat with the person.",ByteDance,170,invite minute chat went pretty well sent rejection email not sure thought good chat person
 Can you scale and design quickly   ,No Offer,0,Easy Interview,"Informal interview, talk through past experience and expertise. Spent two hours interviewing with them and they didn't even get back to me to tell me they wouldn't be taking me forward. Completely ghosted, just reeks of unprofessionalism and indicative of the non-employee centric culture.",ByteDance,289,informal talk past experience expertise spent two hour interviewing even get back tell taking forward completely ghosted reek unprofessionalism indicative non employee centric culture
 Why do you think you suit the role   ,Declined Offer,1,Average Interview,"Have to go through multiple rounds, first of all was the telephone interview and they ask you about your studies and background and why are you interested in their company, second round was 1 on 1 video interview and they ask you about your skillsets you possess that fits to the role",ByteDance,284,go multiple first telephone study background interested company second video skillsets posse fit role
" If the product wants to find out whether it is attracting more of the teenagers compared to other age groups, what would you do to find out?   ",No Offer,1,Average Interview,It was conducted online with Feishu. Interviewer was quite nice. It was a combination of product / business sense and strategies. No technical parts. And no behavioral questions. It was an internship but the interview felt more like a full-time level.,ByteDance,251,conducted online feishu quite nice combination product business sense strategy technical part behavioral internship felt like full time level
 Coding question: Left view of binary tree   ,Accepted Offer,1,Average Interview,"There were four rounds of interviews, each about an hour. There are three rounds of technical interviews, including programming questions and some basic knowledge of computer networks and the future development plan.",ByteDance,216,four hour three technical including programming basic knowledge computer network future development plan
 What is BERT?   ,No Offer,1,Difficult Interview,"Applied Shanghai office online. After a month, I got called by a recruiter and arranged an interview three days later. Two rounds of technical interviews. The first round focused on technical questions, and the second one was more on my background and projects. I applied for NLP algorithms, so pretty basic algorithm questions, including BERT, transformers, regressions, kernels. Coding tests were a bit hard for me, but overall recruiters and interviewers were pretty nice and trying to walk me through an answer. Sad I didn't get the intern but the overall experience was great.",ByteDance,581,applied shanghai office online month got called arranged three day later two technical first focused technical second background project applied nlp algorithm pretty basic algorithm including bert transformer regression kernel coding test bit hard overall pretty nice trying walk answer sad get intern overall experience great
