question,offer,target_variable,interview,difficulty,source,length,text
,No Offer,1,"First interview was a phone interview with the HR personnel. Basic interview questions were asked. After passing the phone interview, the next stage is a group interview at Shopee HQ (2:1). It was a casual interview and the interviewers were professional but friendly.",Easy Interview,Shopee,268,first hr personnel basic asked passing next stage group shopee hq casual professional friendly
 Why Shopee?   ,Accepted Offer,1,"Applied through LinkedIn job posting. Received email from HR few weeks later inviting me to an interview, which they will schedule according to your availability. (Honestly thought this was great, had a job at the time and really couldn't come in for 8/9am interviews most companies have). First interview was with HR- general interview questions + an exam. Exam was on excel formulas (VLOOKUP and other formulas). A week later was invited for another interview with the team lead, who introduced me to what the job entails. Waited for another week and got another invite from HR, endorsing me for an interview with another lead for a team they thought I would be a better fit in. Got a call from HR a week later for the job offer and signed the next week.",Average Interview,Shopee,756,applied linkedin job posting received email hr week later inviting schedule according availability honestly thought great job time really come company first hr general exam exam excel formula vlookup formula week later invited another team lead introduced job entail waited another week got another invite hr endorsing another lead team thought would better fit got call hr week later job offer signed next week
,Declined Offer,1,This consisted of three stages. The interviews were very straight forward. Interviewers are friendly and but kept a straight face. The interviews were face to face in the office. Semi-casual environment,Average Interview,Shopee,202,consisted three stage straight forward friendly kept straight face face face office semi casual environment
 Case study: What would you do when presented these (specific) challenges when building a feature.   ,Accepted Offer,0,"Interviewing process was smooth and fast. Hiring manager was smart and understanding. HR was nice and work efficiently, though at times quite junior. However, Shopee has retracted their offer after the contract was signed, stating the reason of headcount freeze.",Easy Interview,Shopee,262,interviewing smooth fast hiring manager smart understanding hr nice work efficiently though time quite junior however shopee retracted offer contract signed stating reason headcount freeze
,Accepted Offer,1,"Interviews were good and standard. I felt that few interviewers were not fluent with English so it was problematic to follow them and also if you are stuck in a problem you can't expect much help as they might be helping you but you won't understand their accent. Also, Recruiters are little unprofessional. They are interested in your other offers rather than judging candidates based on their own recruitment process. Also, the compensation is average. All the questions asked in my interview were available on glassdoor (especially computer fundamentals).",Average Interview,Shopee,558,good standard felt not fluent english problematic follow also stuck problem expect much help might helping understand accent also little unprofessional interested offer rather judging candidate based recruitment also compensation average asked available glassdoor especially computer fundamental
" Algorithmic programming, Operating Systems, Computer Networks, System Design, Databases. All these topics were covered intensively in the interviews. Prepare all the concepts well.   ",Accepted Offer,1,The interview process consisted of an online coding assessment followed by 3 technical interviews. Each interview was approximately 60-90 minutes. All 3 interviews were done using a video call service. It was a very smooth process and the assigned HR was readily available to clear any doubts and help with the interview process.,Average Interview,Shopee,329,consisted online coding assessment followed technical approximately minute done using video call service smooth assigned hr readily available clear doubt help
 What other companies have you applied to?   ,Declined Offer,0,"The whole interview process toke over one month. It was an HR screening via phone for the first round. Followed by two rounds of on-site technical assessment and a final interview with the head of the department. The whole process is a complete mess and the HR people are very unprofessional. Things like orally offering the position then withdrawing it on the next day, interviewer showing up late for half an hour, canceling interviews on the day itself, and not showing up on scheduled time slot all happened in the process. I am even surprised I can tolerate them for such a long time. Anyone who wants to apply for this company is suggested to take a second consideration before your time is wasted.",Easy Interview,Shopee,704,whole toke month hr screening via first followed two site technical assessment final head department whole complete mess hr people unprofessional thing like orally offering position withdrawing next day showing late half hour canceling day not showing scheduled time slot happened even surprised tolerate long time anyone want apply company suggested take second consideration time wasted
" What did you do in your past job, and how can you apply what you've learned from it to this company   ",Declined Offer,0,"After submitting my application, HR called me a month after. There was a phone interview first before the actual personal interview at Shopee HQ. The same person who called me was also the one who interviewed me, and apart from him was the manager of the team I was gonna be assigned to.",,Shopee,287,submitting application hr called month first actual personal shopee hq person called also interviewed apart manager team gonna assigned
 why shopee   ,Declined Offer,1,"phone interview from hiring team, then sql + python test 45mins + 45mins + 20mins as buffer, then phone interview from hr, then onsite interview. The interviewers are really nice.",Average Interview,Shopee,179,hiring team sql python test min min min buffer hr onsite really nice
 How can you link your past experience into this internship?   ,No Offer,0,"Was contacted for a phone interview and once successful, they assign you a task. If you ""did well"" on it they would then contact you for an interview. However during the interview my interviewer seemed disinterested in what i was saying and i could see she had kept wanting to use her phone but did not because i guess she knew it was rude. Although, she did use her phone once in awhile. INterview focused mainly about past experience.",Average Interview,Shopee,436,contacted successful assign task well would contact however seemed disinterested saying could see kept wanting use not guess knew rude although use awhile focused mainly past experience
 Tell me about why you want to work at Shopee   ,No Offer,0,I applied online to the role and got HR call interview quite soon after submitting the application. I was then invited to PM interview but was rejected one week after the PM interview.,Easy Interview,Shopee,184,applied online role got hr call quite soon submitting application invited pm rejected week pm
 Extract data from a dataframe using some pandas functions for grouping and aggregation   ,Accepted Offer,1,"Interviews are technical, testing on knowledge on working with Python (Pandas) / SQL. I wasn't able to answer some of the questions but the interviewer allowed me to work with some stated assumptions",Average Interview,Shopee,199,technical testing knowledge working python panda sql able answer allowed work stated assumption
 recreate a binary tree from its inorder and post order array   ,No Offer,0,"Interview was done online and used an outdated IDE that did not work. In addition, there was a video component that will spy on you as you do the test. This is to ensure that you don’t cheat. Looking away from the screen will cause your score to be penalised.",Difficult Interview,Shopee,259,done online used outdated ide not work addition video component spy test ensure cheat looking away screen cause score penalised
,No Offer,0,"I was contacted by a recruiter on LinkedIn for applying to a web backend position, which I did and setup interview. I had already submitted my CV separately via mail to them to check.",Average Interview,Shopee,183,contacted linkedin applying web backend position setup already submitted cv separately via mail check
 Do you see yourself at Shopee in the future?   ,No Offer,0,"The Interview went smoothly and the interviewer was nice. I think both sides enjoyed the moment. However, the HR Department changed the hiring policy just after the interview and stayed silent until I reached them. In other words, not so professional in fact.",Average Interview,Shopee,259,went smoothly nice think side enjoyed moment however hr department changed hiring policy stayed silent reached word not professional fact
 Describe how random forests work. Describe the bag of words approach.   ,Accepted Offer,1,"HR emailed me asking for my availability and set the interview up the week after. The interview was quick and brief, the interviewer made me feel comfortable and HR was very efficient.",Average Interview,Shopee,184,hr emailed asking availability set week quick brief made feel comfortable hr efficient
,No Offer,1,"First, they will call you. Very simple questions and lasts about 10 minutes. Then they asked you to have an interview in their office. The officer is friendly and will introduce the job to you.",Average Interview,Shopee,193,first call simple last minute asked office officer friendly introduce job
,No Offer,0,2 stage process which consists of the phone interview and face to face interview. Applied online and then a recruiter will email you personally to select a suitable timing for the phone interview. If all goes well in the phone interview you are shortlisted for the final process which is the face to face interview. The face to face interview took about 1 hour with the department manager. Basic qualification questions were asked and a case study was given on the spot,Difficult Interview,Shopee,469,stage consists face face applied online email personally select suitable timing go well shortlisted final face face face face took hour department manager basic qualification asked case study given spot
 Types of testing you would have done on this product.   ,No Offer,1,Phone HR interview and Online assessment. Phone interview that tells me what the role is about and what the online assessment would be like. They even gave me some tips to study for the online asssessment.,Difficult Interview,Shopee,205,hr online assessment tell role online assessment would like even gave tip study online asssessment
 What's different between TCP and UDP?   ,Accepted Offer,1,"They will call you through video call for 1.5 hour * 3 session. They will ask you technical related like algorithm, data structure, network and database problems, make sure be prepared for that field.",Difficult Interview,Shopee,200,call video call hour session technical related like algorithm data structure network database problem make sure prepared field
 How to grow sales for a traditional brand Online?   ,Declined Offer,1,"Process was fairly fast, only max 3 interviews for me. The company was pretty straight forward. I knew on the same day that I was going to pass. However, the offer was a bit too low.",Average Interview,Shopee,182,fairly fast max company pretty straight forward knew day going pas however offer bit low
 Are you willing to work overtime?   ,No Offer,0,HR talked very fast. He sounded unaudible and He made me feel inferior that made me not answer his questions. The interview lasted for only 5 minutes. He seemed uninterested.,Easy Interview,Shopee,174,hr talked fast sounded unaudible made feel inferior made not answer lasted minute seemed uninterested
" Sorting algorithm analysis, TCP protocol, SQL queries, OS knowledge and programming test.   ",No Offer,1,"After applying online, you will be given a link to an online skill test, which requires wide field of knowledge in Computer Science. Advance study and revise on university material is vital.",Difficult Interview,Shopee,190,applying online given link online skill test requires wide field knowledge computer science advance study revise university material vital
,No Offer,1,"applied it online, after one week got an email to do two kind of test (logic and SQL) sent by mail and have to finished it in 1 hour, mostly about GMAT and SQL, get prepared and practice",Difficult Interview,Shopee,186,applied online week got email two kind test logic sql sent mail finished hour mostly gmat sql get prepared practice
,No Offer,1,Process was very fast. I was emailed to schedule an interview a few hours after applying through website. The interview was relatively easy going. Interviewer mostly asked about things on resume. Was offered a second interview.,Average Interview,Shopee,227,fast emailed schedule hour applying website relatively easy going mostly asked thing resume offered second
 Why did you apply for the position?   ,No Offer,0,"Waited 3 hours before getting interviewed. I was following the given schedule but they didn't comply with the schedule. The interviewer clearly has a lot on his mind, he didn't seemed so focused on the interview. The interview lasted only 40 minutes, I waited longer than I was interviewed.",Average Interview,Shopee,290,waited hour getting interviewed following given schedule comply schedule clearly lot mind seemed focused lasted minute waited longer interviewed
 Why are you keen to work for the ECommerce industry? Previous internship experience?   ,No Offer,0,One round interview with the hiring manager. The interview took about one hour. Interviewer was experienced and has been working in the industry for more than five years.,Average Interview,Shopee,170,hiring manager took hour experienced working industry five year
 What kind of work environment is ideal for you?   ,Accepted Offer,1,"The first round of interview was a phone interview. I was informed that I was shortlisted for a panel interview within 2 days. After the panel interview, I was informed that I was offered the internship within a week.",Average Interview,Shopee,217,first informed shortlisted panel within day panel informed offered internship within week
 Introduce yourself briefly   ,Accepted Offer,1,"After applying the relevant internship position online, you will receive the phone interview if you are required. And the first round is about the HR Interview about your resume. And you must have the good listening and communication skills.",Average Interview,Shopee,241,applying relevant internship position online receive required first hr resume must good listening communication skill
 Why did you choose this department?   ,No Offer,0,"Interview process started with a HR call. On site Interview was okay, was asked basic questions about myself and to elaborate on my past internships. I assume i was not selected as i was not contacted at all.",Average Interview,Shopee,208,started hr call site okay asked basic elaborate past internship assume not selected not contacted
 About my past experience on the last workplace   ,No Offer,0,The HR emailed me and asked me to do an Excel summary about 5 news about shopee that out recently. After that they will arrange a phone interview and if you passed it you will get call to go to their office to get more interview. The phone interview is using Bahasa Indonesia.,Easy Interview,Shopee,276,hr emailed asked excel summary news shopee recently arrange passed get call go office get using bahasa indonesia
 How well do you rate your technical skills.   ,No Offer,0,"Need to go through a short HR phone call, followed by a Python / SQL online assessment, and will be called for interview if successful as well as another round of offer meeting.",Difficult Interview,Shopee,177,need go short hr call followed python sql online assessment called successful well another offer meeting
 Introduce yourself   ,Accepted Offer,1,Recruiter Interview and then on-site technical assessment about SQL and Python. A very nice recruiter from people team. Very smooth process and quick response of the email. Overall is very good.,Average Interview,Shopee,194,site technical assessment sql python nice people team smooth quick response email overall good
 Why out of all the department you want this?   ,Accepted Offer,1,"The HR will first call and ask on the python libraries packages then will go on to ask the normal question like why this role, why shopee. After that immediately, she asked on my availability for the coding test.",Average Interview,Shopee,212,hr first call python library package go normal like role shopee immediately asked availability coding test
 Tell me about yourself   ,No Offer,0,"Phone Interview was schedules before hand. HR person was very friendly and nice over the phone, and very prompt in replying my emails regarding inquiries. Have not heard from them back since, an update would be nice.",Easy Interview,Shopee,216,schedule hand hr person friendly nice prompt replying email regarding inquiry not heard back since update would nice
 Did you apply for any other company?   ,No Offer,1,"I got to the first HR interview(phone screening). The HR is quite nice and asking question gently, mostly on my previous experiences and why am i want to apply for this job. She email me a sorry letter a week after the interview.",Easy Interview,Shopee,229,got first hr screening hr quite nice asking gently mostly previous experience want apply job email sorry letter week
 Case study about COFFEE SHOPS   ,No Offer,0,"Probably one of the worst interviews I have ever experienced. HR called me and we had a quick interview over the phone and then they invited me to in for a 1:1. Before the interview, HR mentioned that no one got along with one of the managers (the person who was going to interview me) and that they were difficult to work with - great first impression, Shopee? The interview was extremely redundant, there were two managers who interviewed me and they were extremely rude and arrogant. They had a case study for me to complete but could not answer any questions I asked - it also had NOTHING to do with e-commerce. One of the managers also rolled her eyes the entire time and it made me feel extremely uncomfortable.",Average Interview,Shopee,717,probably worst ever experienced hr called quick invited hr mentioned got along manager person going difficult work great first impression shopee extremely redundant two manager interviewed extremely rude arrogant case study complete could not answer asked also nothing commerce manager also rolled eye entire time made feel extremely uncomfortable
 How would u improve X feature on Shopee   ,No Offer,0,"HR phone screening, then had to do a written assignment made up of several essays. Was shortlisted and called down for 2 interviews with one manager each (managing separate teams) at the office. They were a set of case studies pertaining to Shopee specifically and also questions about my capabilities. Thought the interviews went well on one side, the other not so much. Doesn’t matter that I did not get an offer, but I found it unpleasant that HR never bothered to send a rejection email, when they took up my time and effort going through several rounds of the interview process.",Average Interview,Shopee,583,hr screening written assignment made several essay shortlisted called manager managing separate team office set case study pertaining shopee specifically also capability thought went well side not much matter not get offer found unpleasant hr never bothered send rejection email took time effort going several
 Biggest takeaway from college   ,No Offer,1,It was fast and focused on myself. There were a lot of questions about my time in school. The interviewer asked about my thesis and interests.,Easy Interview,Shopee,142,fast focused lot time school asked thesis interest
 tell me about your final year project   ,Accepted Offer,1,"HR sent an email to confirm the interview session. The phone call interview is sharp on time. It took almost half an hours. There are some question is based on the programming language, and some of critical thinking technique. They want to see you determination.",,Shopee,262,hr sent email confirm session call sharp time took almost half hour based programming language critical thinking technique want see determination
 What did you know about the shopee ambassador and campaign?   ,No Offer,0,The interview process started with basic mathematics questions if you pass the test you will proceed immediately into the HR Interview after you pass this interview you will directly being interviewed by the user.,Easy Interview,Shopee,213,started basic mathematics pas test proceed immediately hr pas directly interviewed user
 your previous experience   ,No Offer,1,totally 3 or 4 rounds now I am in the first round phone interview the first round what you need to talk with hr about 30 minutes. hr is nice but she asks questions very carefully and many details.,Average Interview,Shopee,196,totally first first need talk hr minute hr nice asks carefully many detail
 What do you see in 5 years   ,No Offer,1,"Phone interview, the interview was punctual. The interviewer was engaging, question was clear.",Average Interview,Shopee,94,punctual engaging clear
" Programming skills, preference between BI Engineer or BI Analyst   ",Accepted Offer,1,"I got interview from the HR team, the interview was mostly about my skills and also my previous experience. He asked me about the tools that I use in my previous company and what works did I do there",Average Interview,Shopee,199,got hr team mostly skill also previous experience asked tool use previous company work
 Describe yourself   ,Declined Offer,0,"Pretty ok and straight forward, Asking the standard questions - what is your hobby, tell me more about this role, background family information, what attracts you to join shopee (in terms of awards)",Easy Interview,Shopee,198,pretty ok straight forward asking standard hobby tell role background family information attracts join shopee term award
 Are you familiar with Excel formulas   ,No Offer,0,"A quick phone call, mostly asking technical questions such as Excel formulas and whether you have networking in media. Also ask about your past experiences, and then the next step is a Math test sent by email",Average Interview,Shopee,208,quick call mostly asking technical excel formula whether networking medium also past experience next step math test sent email
 Tell me about your FYP   ,No Offer,1,"I applied online and the response was quick. The interviewer was very professional and engaging. The interview starts at the determined time, it was punctual.",Average Interview,Shopee,158,applied online response quick professional engaging start determined time punctual
" They asked about frontend skills, algorithm, data structures, project experience and etc.   ",Accepted Offer,1,I had multiple interviews with different people. My first interview was with the HR team then I had an interview with two tech leads and with the head of the engineering team. They were nice and their challenges were really good.,Average Interview,Shopee,229,multiple different people first hr team two tech lead head engineering team nice challenge really good
 Tell me what you did at your previous internship.   ,Accepted Offer,1,I applied through the job portal. First round was actually a short 5-10 minutes phone call with the HR personnel about your strengths and weaknesses. Was told shortly to head down to the Shopee building for a F2F interview and Whiteboard Test. F2F Interview focused on past experiences and whiteboard test was a series of 4 questions consisting of SQL and python. Interviewers were really nice and genuine and they saw that I was really nervous - and allowed me some time to use the washroom to freshen up in the middle of the interview. Overall very good experience.,Average Interview,Shopee,567,applied job portal first actually short minute call hr personnel strength weakness told shortly head shopee building whiteboard test focused past experience whiteboard test series consisting sql python really nice genuine saw really nervous allowed time use washroom freshen middle overall good experience
 Fundamental Javascript questions   ,No Offer,0,"First, Shopee will contact you through email to book a skype interview section with you. After the interview with Shopee's HR. Then, Shopee will send an assessment question for you to complete. If you pass your assessment question only got the chance for the next round of interviews. Unfortunately, I failed in this round.",Average Interview,Shopee,323,first shopee contact email book skype section shopee hr shopee send assessment complete pas assessment got chance next unfortunately failed
 Tell me about how you do data visualization   ,No Offer,0,"First, HR gave a phone call, and then a Python and SQL test. The HR said she need talk with the Hiring Manager to decide whether gave a Python and SQL test. Then, she did not send me a test anymore.",Easy Interview,Shopee,198,first hr gave call python sql test hr said need talk hiring manager decide whether gave python sql test not send test anymore
 Can you explain the VAE?   ,Accepted Offer,1,"2 rounds of the technical interview +1 round of manager interview. Quite intensive on technical both coding and machine learning knowledges. The coding is targeted for developer skills, such as reading and loading files, basic data structures and algorithms.",Average Interview,Shopee,258,technical manager quite intensive technical coding machine learning knowledge coding targeted developer skill reading loading file basic data structure algorithm
 Why do you want to work in HR?   ,Accepted Offer,1,The internship hiring process was very well organized. The HR department was very hands on and made sure to help me figure out what role would best fit my qualifications as well as my personality.,Average Interview,Shopee,196,internship hiring well organized hr department hand made sure help figure role would best fit qualification well personality
 Q: Why are you rthe right fit for the position   ,No Offer,1,"1st round: Online test includes ploblem solving, GMAT, logical reasoning if you pass this this test,you will get a invite mail for Group discussion & HR interview 2nd round: case interviews 3rd round: Senior manager interview",Average Interview,Shopee,225,st online test includes ploblem solving gmat logical reasoning pas test get invite mail group discussion hr nd case rd senior manager
 Why do you want to join Shopee?   ,No Offer,0,"Backward and incompetent HR system. It's 2019, they are still asking questions that requires sugarcoating like ""why do you want to work at Shopee"" instead of ""What can you contribute in this role"" or ""what kind of support you are looking for"". You contacted the candidates because of their qualifications and skills, not because you want them to tell you good things about Shopee. I refused to disclose previous salary because such question is illegal, the HR was annoyed by it. I feel that it is very unprofessional. They should offer the salary based on experience, skills and what I can contribute to the company instead of based on last drawn salary.",Easy Interview,Shopee,654,backward incompetent hr system still asking requires sugarcoating like want work shopee instead contribute role kind support looking contacted candidate qualification skill not want tell good thing shopee refused disclose previous salary illegal hr annoyed feel unprofessional offer salary based experience skill contribute company instead based last drawn salary
" Barely 5 question, and he cut my answers alot on them. Very rude and unprofessional   ",No Offer,0,"The interviewer was late and rude. Keep cutting off when I was talking or taking a pause before answering. He clearly was not interested and focused in the interview, acting like he needed to be somewhere else.",,Shopee,210,late rude keep cutting talking taking pause answering clearly not interested focused acting like needed somewhere else
 Case studies. e.g. How to persuade a company to sell products via Shopee.   ,Accepted Offer,1,"First is a online coding assessment, followed by HR phone interview. After a week is the onsite interview, which consists of two rounds: one team interview and another with manager.",Easy Interview,Shopee,181,first online coding assessment followed hr week onsite consists two team another manager
,Declined Offer,0,"Lengthy interview process, with no structure (expected from a startup like company). Initially applied for a general role but was then transferred to different divisions three times. The HR team is huge and each business division HR does not share candidate date within the group.",Average Interview,Shopee,280,lengthy structure expected startup like company initially applied general role transferred different division three time hr team huge business division hr not share candidate date within group
 What was one of your greatest achievement from your previous workplace?   ,Declined Offer,0,"I applied online for a full time position under regional operations team. Got a 20min HR call on the following work day, followed by a F2F interview, 1 assignment and last stage was F2f interview. However I was offered a 6 MONTHS CONTRACT only after ALL interview rounds, and HR mentioned that interviewers should have already discussed with me, WHICH THEY DID NOT. I had an interview with the head of regional operations team as well, but I did not get this information beforehand. JD also did not indicate that it was a contract role. Felt that they were very unprofessional, and really wasted my 2 weeks worth of time.",Easy Interview,Shopee,621,applied online full time position regional operation team got min hr call following work day followed assignment last stage however offered month contract hr mentioned already discussed not head regional operation team well not get information beforehand jd also not indicate contract role felt unprofessional really wasted week worth time
,Accepted Offer,1,"The interview was smooth sailing and interviewer was friendly. Gave a brief introduction on the jobscope and how lively the company is. Also gave situational questions, good to be prepared for these out of the box questions.",Average Interview,Shopee,224,smooth sailing friendly gave brief introduction jobscope lively company also gave situational good prepared box
" How to increase GMV, What kind of campaigns, How to increase margins and drive down cost   ",Declined Offer,0,"Recruiter is efficient and follows up closely. However the interviewer comes across as unprofessional and pushy. An interview should be a two way street, interviewee is as much assessing the interviewer as well. Shopee management comes across as young, and they would need more leadership training & experience to be able to attract better talents",Average Interview,Shopee,347,efficient follows closely however come across unprofessional pushy two way street interviewee much assessing well shopee management come across young would need leadership training experience able attract better talent
,Accepted Offer,1,There were three levels and my hiring process happened in a span of three weeks. One interview per week was pretty fast I guess but some questions were asked repeatedly and I didn’t understand the need for having three interviews.,Average Interview,Shopee,230,three level hiring happened span three week per week pretty fast guess asked repeatedly understand need three
 Tell me about your internship/s. When can you start? What is your expected salary? What are the threw attributes you look for in a company?   ,No Offer,0,"There’s an exam first, data processing and analysing through MS Excel. Can use the internet for the formula. For the interview, it was short, and just asked about personal information, your expected salary, when you can start. Was also asked to present the output that you’ve come up from the exam.",Average Interview,Shopee,298,exam first data processing analysing excel use internet formula short asked personal information expected salary start also asked present output come exam
" http, tcp, database, binary search, stacks and heaps.   ",No Offer,0,"Applied directly. HR recruiter contacted. She was not very professional in asking questions. Probed a lot about what I currently make and salary expectations. Even during scheduling interviews, she did not provide any information about what kind of interview I will be having.",Easy Interview,Shopee,276,applied directly hr contacted not professional asking probed lot currently make salary expectation even scheduling not provide information kind
 Tell me about yourself   ,No Offer,0,Recruiter was nice and friendly. They are looking for transcript even with work experience. They said that this would help with their process even though I have work experience already.,Average Interview,Shopee,185,nice friendly looking transcript even work experience said would help even though work experience already
 How would you improve Shopee's website   ,Declined Offer,0,"Slow. Extremely time consuming. No value in other people's time. Didn't even know what team to interview me for, originally. Gave me different tests but apparently according to another person in HR, I didn't need to take any of those tests. Interviews set at a certain time when interviewer only shows up an hour after.",Average Interview,Shopee,319,slow extremely time consuming value people time even know team originally gave different test apparently according another person hr need take test set certain time show hour
 How would you describe your strengths?   ,No Offer,0,Had to go down to the office for a few interviews that were messily coordinated - repetitive questions asked by different stakeholders. Did not even bother to follow up on the outcome of the interview. Please respect your candidates' time and understand that the candidate experience is important.,Average Interview,Shopee,297,go office messily coordinated repetitive asked different stakeholder not even bother follow outcome please respect candidate time understand candidate experience important
 What are your strengths and weaknesses   ,Accepted Offer,1,"Interview was very straightforward and direct. The first one is accuracy test, math test, and english test. If you pass that, they'll ask you to wait for the HR interview while the failed candidates are asked to go home. When you pass the HR interview, only then will you have a 1-on-1 interview with the user that you are going to be working with. I found out that I was hired a week after the interview.",Easy Interview,Shopee,405,straightforward direct first accuracy test math test english test pas wait hr failed candidate asked go home pas hr user going working found hired week
 Past Internship experience.   ,Accepted Offer,1,"Applied via company website. First round is a 10 mins phone interview with HR. After 2 days, received call from HR to schedule the next round. Second round is a 30 mins on-site interview with line manager.",Average Interview,Shopee,205,applied via company website first min hr day received call hr schedule next second min site line manager
 Why do you want to work at Shopee?   ,Declined Offer,1,Starts with a phone interview before going down for a physical interview. I am still pending the final interview so will update when I get it. Over the phone they will ask about your previous experiences and how you think you can contribute to the company based on the experiences.,Average Interview,Shopee,281,start going physical still pending final update get previous experience think contribute company based experience
,No Offer,1,"applied online and after 3 workdays, I received the phone interview invitation. the next day i was informed to take the online test about sql and python which should be finished in 1.15 h.",Average Interview,Shopee,188,applied online workday received invitation next day informed take online test sql python finished
 Tell me about yourself and your CV   ,No Offer,0,"I had three interview experiences with Shopee GLP, HR interview and Case interview (two times). The HR Interview questions were pretty basic where you had to describe yourself and your compatibility with the firm. The case interview was done two times, the first one was a basic profitability case, and the second one was about supply chain",Average Interview,Shopee,340,three experience shopee glp hr case two time hr pretty basic describe compatibility firm case done two time first basic profitability case second supply chain
 What made you apply for Shopee?   ,Accepted Offer,0,"I had the HR screening interview directly followed one by my potential department bosses. It took a month for them to get back to me for the final interview with a person higher ranked in the department. Depending on your possible role, you might have to take an excel diagnostic.",Average Interview,Shopee,280,hr screening directly followed potential department boss took month get back final person higher ranked department depending possible role might take excel diagnostic
 Why do you want to do Business Development?   ,No Offer,0,"Applied online, and they took 2 weeks to contact me back. There was a phone interview, the HR asked a few basic questions and cultural fit questions. Had to do a case study online after the phone call which is due within 1 hour, and met up with the 2 relevant managers from the department. Talked through what I've done for the case study.",Average Interview,Shopee,339,applied online took week contact back hr asked basic cultural fit case study online call due within hour met relevant manager department talked done case study
 Have you been in a leadership position?   ,No Offer,1,"Relatively fast processing time (1-2 months) for a management trainee program. Apply to their Global Leader's Program online, waited for a month, and got invited to their networking night where they explained the company profile and what to expect on Round 1, part 2 of the application process.",Average Interview,Shopee,294,relatively fast processing time month management trainee program apply global leader program online waited month got invited networking night explained company profile expect part application
 Tell me about your last job. Share something difficult in your life. Why do you want to develop toward machine learning field?   ,No Offer,1,"The hr is very professional, but I can't pass. My experience is not enough for them. Maybe I need to improve my resume. I hope I will join in next year and try again.",Average Interview,Shopee,166,hr professional pas experience not enough maybe need improve resume hope join next year try
 Why did you leave that company?   ,No Offer,0,"Skype call. But I was asked questions those were answered in my cv. Apparently, the recruiter did not go through my resume. Did not ask many relevant questions such as my thesis or publication even though the post was for research. Put too much importance on experience rather than qualification or ability which is pretty much irrelevant for research background. The recruiter was very friendly although I do not think (s)he was very familiar with or aware of what the job requires. Spent too much time on a sample project I did rather than asking about better/professional projects I was involved in",Average Interview,Shopee,601,skype call asked answered cv apparently not go resume not many relevant thesis publication even though post research put much importance experience rather qualification ability pretty much irrelevant research background friendly although not think familiar aware job requires spent much time sample project rather asking better professional project involved
 Why do you want to work at shopee?   ,Declined Offer,1,"This was only the initial interview, but they asked me questions about my self. Typical strengths and weaknesses, why did I choose Shopee, etc etc. They also answered some of my questions about company culture",Average Interview,Shopee,209,initial asked self typical strength weakness choose shopee etc etc also answered company culture
 How do you manage capacity at a given restaurant?   ,No Offer,1,"HR contacted me pretty quickly. I went to an interview the week after. They gave me an easy assignment to make a powerpoint for a given project. The interview was pretty standard, tested me on logic in decision making and how much I wanted to work in the industry.",Average Interview,Shopee,264,hr contacted pretty quickly went week gave easy assignment make powerpoint given project pretty standard tested logic decision making much wanted work industry
 Why Shopee? Why this department and give a relevant experience related to the function you are applying in.   ,No Offer,0,"Initially contacted by HR Intern and was first interviewed by the intern. Intern does not reply to texts or calls immediately. After the initial interview with the HR Intern, a second interview will be done through the hiring manager of your selected department. After the interview, I would be contacted regarding my application however the HR Intern did not reply and only took action when I texted a week after my interview.",Average Interview,Shopee,427,initially contacted hr intern first interviewed intern intern not reply text call immediately initial hr intern second done hiring manager selected department would contacted regarding application however hr intern not reply took action texted week
 Interview questions related to the case study exercises to uncover your thought processes   ,Accepted Offer,1,"The interview process took about 3 weeks. The HR were very efficient and took less than 3 days after each round to get back. There were 4 rounds in total- phone call with HR (checking on your resume and background experience), a few take-home case study exercises that had to be completed within a week, and then two more face-to-face interviews with different managers.",Difficult Interview,Shopee,370,took week hr efficient took le day get back total call hr checking resume background experience take home case study exercise completed within week two face face different manager
 Questions about yourself   ,No Offer,1,"Phone Interview and Face to Face Interview after which. It was very fast and the HR personnel was very friendly. Once you apply online, they will give you a follow-up email for phone interview in a few days time. Overall, very good experience.",Easy Interview,Shopee,243,face face fast hr personnel friendly apply online give follow email day time overall good experience
" If you have 1000 packages, how many riders do you need to deliver all the packages?   ",Accepted Offer,1,"I was interviewed by region head at shopee express hub at Kepong. The session is just relaxed and a discussion 1 to 1, while also test your knowledge and understanding (for fresh grads). He also explains the actual situation of the workflows, culture roughly.",Easy Interview,Shopee,259,interviewed region head shopee express hub kepong session relaxed discussion also test knowledge understanding fresh grad also explains actual situation workflow culture roughly
" There is no difficult questions, all standard questions, and more chit chat to know you better.   ",No Offer,0,"Had phone interview with the HR, and arranged a F2F interview the Chief of the Staff, the interview was conducted fully in Chinese, with a very standard interview routine, not as professional as I expect. I asked a few questions in the end, and I feel it is not the company I would like to work for.",Easy Interview,Shopee,299,hr arranged chief staff conducted fully chinese standard routine not professional expect asked end feel not company would like work
 Why do you want to work here?   ,Accepted Offer,1,The interview session had 3 session. 1st was grouping interview with other candidate. 2nd was test session regarding the job scope. 3rd was with personal interaction with the hiring manager.,Average Interview,Shopee,190,session session st grouping candidate nd test session regarding job scope rd personal interaction hiring manager
